puma22,Num Eligible,Num Ineligible
0607306,24611,21150
0607307,15936,22872
0607308,11372,36758
0607310,19865,52326
0607311,8501,31607
0607312,14904,26901
0607313,31001,32099
0607314,20883,43276
0607315,20051,46060
0607316,33386,57066
0607317,30864,28520
0607322,19906,20097
0607323,13902,20526
0607324,13678,40886
0607325,18525,28341
0607326,13804,49799
0607327,25113,16398
0607328,18767,23387
0607329,19808,29743
0607330,35773,19688
0607507,19214,12648
0607508,13259,30274
0607509,18306,33880
0607510,19917,26708
0607511,14655,42512
0607512,13245,26396
0607513,12947,21451
0607514,13475,32376
0607705,32852,31285
0607706,33962,15775
0607707,14310,22388
0607708,27462,28627
0607709,13679,21397
0607901,26901,40707
0607902,15489,24478
0608101,18220,28238
0608102,14154,28881
0608103,12136,29248
0608104,10828,35064
0608105,11270,39442
0608106,9585,26391
0608301,22558,17442
0608302,17944,18350
0608303,28159,46099
0608505,12961,14925
0608506,15327,25141
0608507,10634,41363
0608508,15043,35663
0608510,22018,33036
0608511,10678,28521
0608512,8308,29747
0608515,6985,28980
0608516,14659,47428
0608517,12731,37050
0608518,11785,20467
0608519,20323,39210
0608520,14974,17781
0608521,18238,15911
0608522,7842,32607
0608701,20628,28784
0608702,17417,30525
0608900,33977,37528
0609501,25244,31033
0609502,23825,26323
0609503,16799,34944
0609702,16801,31612
0609704,15578,34739
0609705,15954,21796
0609706,20384,33714
0609901,17390,16540
0609902,22138,17006
0609903,27586,33908
0609904,20443,19130
0610100,34766,26850
0610701,28605,22483
0610702,29500,17975
0610703,30297,14664
0611102,15370,39264
0611103,27203,23818
0611104,16011,31763
0611107,15139,20603
0611108,16245,29382
0611109,15235,29171
0611301,16568,19385
0611302,18841,22052
0800100,16677,26372
0800200,12798,31511
0800301,14751,29203
0800302,21347,38684
0800303,13884,34166
0800401,10565,34985
0800501,15920,34743
0800502,17487,33297
0800601,14496,52319
0800701,15049,36526
0800702,19432,33914
0800703,20259,41843
0800801,10016,43150
0800901,7679,40583
0800902,8877,37931
0801001,16379,20562
0801002,20078,25042
0801003,12344,27174
0801101,25665,40797
0801201,16443,23701
0801202,26637,36356
0801301,24460,24418
0801401,11057,24984
0801501,14666,33132
0801601,19495,21894
0801602,9147,39401
0801603,10852,29399
0801701,27453,48774
0801702,28142,43434
0801703,22901,24062
0801704,16892,45372
0801705,32964,55039
0801800,18621,26970
0801900,23077,20777
0802001,15085,23464
0802002,12047,43104
0802003,15407,34162
0802004,20472,28890
0802005,17712,33214
0802006,23880,27367
0802101,20096,26183
0802200,21641,28782
0802301,35237,28712
0802401,22222,20300
0802501,24251,33181
0920100,16828,29934
0920201,31168,14323
0920202,18469,43831
0920203,16286,27928
0920204,28433,30471
0920205,12833,33928
0920206,28580,31935
0920207,21035,45016
0920301,19866,21966
0920401,19291,33041
0920402,28987,34003
0920500,21727,52338
0920601,35050,21323
0920602,23658,32078
0920603,27734,39307
0920604,15988,40318
0920701,28039,17060
0920702,24247,46995
0920703,19501,40542
0920801,35500,22232
0920802,18209,45585
0920901,24569,50929
0920902,10927,26082
0920903,16254,28526
0920904,25366,49934
1000101,14004,37481
1000102,22891,29360
1000103,13629,25449
1000104,14491,24719
1000105,12064,26449
1000200,31057,39197
1000301,21151,30953
1000302,21374,31254
1100101,8278,40175
1100102,17130,29388
1100103,15752,35846
1100104,40392,21033
1100105,16600,39264
1100106,16670,39034
1200101,31804,30589
1200102,14654,31139
1200398,20054,28925
1200500,33519,43241
1200798,37874,34617
1200901,17335,26038
1200902,16934,39820
1200903,21115,32401
1200904,30106,27420
1200905,17298,26107
1201101,13932,23043
1201102,18478,22899
1201103,22164,23513
1201104,22276,27373
1201105,19814,21608
1201106,30842,39030
1201107,22839,13890
1201108,23361,33101
1201109,22421,24534
1201110,14312,27545
1201111,13809,26864
1201112,15938,22899
1201113,22705,23387
1201114,21672,16585
1201115,11206,23075
1201116,23260,27232
1201117,9526,22588
1201398,35124,33674
1201500,35670,53318
1201700,30467,37801
1201901,14536,24486
1201902,15431,26010
1202101,15689,46670
1202102,20014,31793
1202103,19020,30745
1202799,33832,27537
1203101,25966,31467
1203102,33034,13087
1203103,38242,34537
1203104,20661,26811
1203105,19545,36483
1203106,21086,49397
1203107,20375,35609
1203301,17097,24727
1203302,22119,23061
1203303,19253,20740
1203500,17207,29889
1204798,21278,15975
1205199,23131,13952
1205300,37445,44052
1205701,36816,22553
1205702,15070,29870
1205703,28232,41430
1205704,20721,31299
1205705,29133,37941
1205706,20878,26749
1205707,22789,36797
1205708,13229,26905
1205709,12924,25052
1205710,16383,38450
1205711,15409,28801
1205998,23012,29690
1206100,25653,44321
1206901,18439,23992
1206902,20816,40128
1206903,19997,38022
1207101,20080,39417
1207102,17116,26667
1207103,35812,32398
1207104,24372,25590
1207105,16724,37884
1207106,16812,27524
1207301,17845,42066
1207302,35095,26418
1208101,18413,39279
1208102,20502,30677
1208103,14815,39830
1208301,20743,23574
1208302,21767,25541
1208303,29149,36576
1208500,25804,43393
1208601,20214,18593
1208602,24163,11347
1208603,19798,16972
1208604,18245,20575
1208605,22387,14615
1208606,29630,10250
1208607,26427,11678
