zcta,Num Eligible,Num Ineligible
01029,148,169
01030,2427,2311
01031,208,350
01032,79,109
01033,1002,1437
01034,408,389
01035,878,1259
01036,808,1232
01037,105,177
01038,407,562
01039,244,336
01040,7920,7541
01050,413,542
01053,334,479
01054,305,421
01056,3418,5207
01057,1328,2023
01060,2382,3416
01062,1797,2577
01063,347,498
01066,35,48
01068,252,475
01069,1371,2088
01070,93,128
01071,307,292
01072,221,305
01073,1006,1388
01074,87,146
01075,2991,4290
01077,1914,1823
01079,115,175
01080,391,596
01081,274,417
01082,1703,2372
01083,335,632
01084,31,42
01085,8604,8191
01088,96,132
01089,5974,5688
01092,177,333
01093,46,64
01094,8,14
01095,2392,3644
01096,405,559
01097,28,27
01098,186,257
01103,651,291
01104,6045,2701
01105,3088,1380
01106,2661,3969
01107,2885,1289
01108,7086,3178
01109,7935,3545
01118,3664,1637
01119,3688,1648
01128,679,303
01129,1798,803
01151,2345,1048
01201,9498,10861
01220,1705,1950
01222,175,200
01223,509,582
01224,46,52
01225,682,779
01226,1320,1509
01229,40,46
01230,1859,2125
01235,571,653
01236,315,360
01237,493,564
01238,1193,1365
01240,981,1121
01242,94,108
01243,29,40
01244,59,68
01245,194,222
01247,3163,3616
01253,170,194
01254,197,225
01255,199,228
01256,135,154
01257,447,511
01258,32,37
01259,135,154
01260,48,55
01262,366,419
01264,46,52
01266,253,290
01267,1643,1879
01270,159,182
01301,2917,4026
01330,242,334
01331,2017,3398
01337,415,572
01338,21,29
01339,240,331
01340,292,403
01341,249,344
01342,249,344
01343,35,40
01344,269,371
01346,58,79
01347,33,45
01349,134,185
01350,19,26
01351,370,511
01354,249,344
01355,142,196
01360,464,641
01364,1240,1711
01366,175,295
01367,83,114
01368,190,320
01370,635,877
01373,731,1009
01375,589,813
01376,860,1187
01378,127,175
01379,125,172
01380,13,19
01420,7921,9886
01430,929,1567
01431,374,834
01432,962,2145
01434,292,394
01436,473,797
01438,61,102
01440,3184,5369
01450,1320,2945
01451,1031,1287
01452,638,1076
01453,8263,10313
01460,782,2904
01462,2233,2787
01463,1358,3029
01464,869,1938
01468,637,1073
01469,825,1841
01473,1213,2044
01474,242,540
01475,1520,2563
01501,2203,4156
01503,363,841
01504,1272,2303
01505,556,1290
01506,453,855
01507,1840,3331
01510,2278,3840
01515,293,554
01516,1238,2240
01518,439,795
01519,832,1929
01520,2158,4072
01521,425,647
01522,456,861
01523,1582,1974
01524,871,1643
01525,11,20
01527,1817,3429
01529,439,795
01531,147,248
01532,1804,4185
01534,861,1559
01535,624,1177
01536,861,1997
01537,296,536
01540,1525,2760
01541,515,869
01542,312,587
01543,1190,2246
01545,4392,10185
01550,2451,4438
01560,561,1302
01561,11,14
01562,1579,2980
01564,1178,1986
01566,924,1673
01568,905,2099
01569,1962,3552
01570,2455,4446
01571,1646,2981
01581,2472,5734
01583,1008,1901
01585,645,1217
01588,1396,2528
01590,1281,2319
01602,5473,3899
01603,4832,3446
01604,8899,6331
01605,6297,4480
01606,4646,3339
01607,2007,1451
01608,1077,768
01609,5146,3666
01610,6189,4405
01611,300,565
01612,665,1255
01701,4957,7753
01702,5931,9288
01718,53,196
01719,425,1578
01720,1790,6649
01721,2155,4743
01730,1312,4213
01731,140,451
01740,1070,1335
01741,404,1499
01742,1430,5309
01745,49,113
01746,1715,3775
01747,831,1504
01748,2146,4724
01749,1549,5753
01752,6277,9818
01754,828,3073
01756,861,1559
01757,3492,8099
01760,4193,9230
01770,504,1109
01772,1147,2661
01773,509,1636
01775,554,2057
01776,1459,5419
01778,1616,3558
01801,5669,10890
01803,2350,7544
01810,6382,6391
01821,2623,8868
01824,3142,7008
01826,2789,9360
01827,393,877
01830,6158,3604
01832,5734,3356
01833,1032,2158
01834,828,1731
01835,3257,1906
01840,1275,1276
01841,9612,9624
01843,5078,5085
01844,11839,6932
01845,3963,8102
01850,3252,2887
01851,6383,5662
01852,7166,6360
01854,5769,5124
01860,825,1724
01862,971,3281
01863,1114,2485
01864,2157,4144
01867,3537,6794
01876,2642,8925
01879,1445,3225
01880,3752,7208
01886,2877,6417
01887,2105,6755
01890,2070,6646
01901,581,486
01902,10556,8825
01904,4151,3470
01905,5777,4829
01906,3822,7189
01907,2322,4028
01908,694,580
01913,2131,4455
01915,6486,11277
01921,1014,2120
01922,384,804
01923,3738,7031
01929,483,908
01930,4555,7919
01937,14,26
01938,1841,3462
01940,1779,3346
01944,826,1435
01945,3133,5448
01949,1305,2455
01950,2245,4693
01951,439,918
01952,1134,2370
01960,7235,13607
01965,50,88
01966,1071,1861
01969,757,1582
01970,6809,11839
01982,1018,1915
01983,877,1649
01984,665,1251
01985,552,1155
02019,1564,4632
02021,4176,5155
02025,1136,2275
02026,3017,6702
02030,435,1634
02032,448,1326
02035,1718,5087
02038,3071,9092
02043,2860,6726
02045,1187,2791
02047,44,103
02048,3743,5479
02050,3058,7193
02052,940,3533
02053,963,3621
02054,621,2336
02056,1076,3187
02061,1338,3147
02062,5416,6686
02066,2186,5143
02067,3179,3924
02071,89,264
02072,5017,6193
02081,1902,5624
02090,1194,4489
02093,1124,3328
02108,788,1195
02109,731,1108
02110,545,825
02111,1811,2745
02113,1330,2015
02114,2699,4090
02115,5625,5844
02116,4364,6613
02118,5775,7451
02119,7838,3019
02120,4424,1962
02121,7816,2853
02122,4101,5904
02124,10726,9374
02125,7095,6772
02126,5862,2688
02127,6346,9236
02128,8030,12169
02129,3565,5403
02130,6841,8873
02131,4942,7809
02132,4386,6931
02133,9,14
02134,3422,3702
02135,7446,8055
02136,5689,8961
02138,5152,11332
02139,5355,11802
02140,2907,6401
02141,2050,4518
02142,610,1344
02143,4871,5782
02144,4772,5663
02145,5151,6114
02148,12404,14770
02149,9187,10905
02150,8862,5587
02151,13546,8539
02152,4205,2651
02155,11508,13702
02163,219,237
02169,10478,13945
02170,3365,4480
02171,3293,4383
02176,4132,7937
02180,3222,6189
02184,5304,10623
02186,3410,7564
02188,2050,4106
02189,2050,4106
02190,2562,5131
02191,1121,2245
02199,295,447
02205,3,5
02210,976,1423
02215,4277,4572
02301,14916,10291
02302,7779,5367
02322,818,1010
02324,2929,6465
02325,346,763
02330,1468,3119
02332,1895,4458
02333,1641,3622
02338,883,1950
02339,1693,3736
02341,1184,2612
02343,1947,2404
02346,3056,6494
02347,1453,3087
02350,30,67
02351,1952,4301
02356,2001,2930
02357,299,438
02359,2163,5087
02360,7704,16371
02364,1564,3452
02366,11,24
02367,335,739
02368,4746,9503
02370,2097,4933
02375,1626,2380
02379,877,1937
02382,1725,3806
02420,1397,4485
02421,1708,5484
02445,2688,5930
02446,3803,8439
02451,1496,5253
02452,1278,4486
02453,2655,9320
02457,115,431
02458,1069,3751
02459,1585,5564
02460,767,2692
02461,619,2173
02462,131,460
02464,266,933
02465,1034,3630
02466,703,2466
02467,2549,5970
02468,477,1673
02472,3764,10746
02474,3038,8671
02476,1889,5392
02478,2904,8287
02481,1269,4769
02482,786,2955
02492,1568,5895
02493,1068,3428
02494,788,2962
02532,2055,3895
02534,143,267
02535,250,484
02536,3161,5888
02537,976,1818
02538,558,1185
02539,786,1518
02540,1336,2489
02542,126,234
02543,119,221
02553,26,48
02554,2054,3969
02556,527,982
02557,360,696
02558,275,585
02559,536,998
02561,113,210
02562,508,946
02563,1592,2966
02564,108,208
02568,1242,2399
02571,1368,2907
02575,481,930
02576,499,1061
02584,6,11
02601,2608,4857
02630,310,578
02631,1548,2990
02632,1814,3378
02633,709,1369
02635,575,1071
02637,41,77
02638,451,870
02639,493,952
02641,50,97
02642,874,1689
02643,2,4
02644,625,1164
02645,1587,3065
02646,293,565
02647,22,40
02648,1159,2158
02649,2382,4437
02650,125,242
02652,214,413
02653,959,1852
02655,568,1059
02657,556,1075
02659,168,324
02660,1013,1956
02663,39,74
02664,1510,2916
02666,160,309
02667,503,971
02668,510,950
02670,223,431
02671,185,357
02672,48,89
02673,1352,2611
02675,1023,1973
02702,999,802
02703,6557,11300
02713,6,11
02715,632,925
02717,1160,931
02718,1080,1581
02719,3719,2915
02720,7306,5864
02721,6574,5276
02723,3766,3023
02724,4227,3392
02725,615,494
02726,3670,2946
02738,674,1433
02739,820,1742
02740,10548,8267
02743,2444,1961
02744,3048,2389
02745,5916,4637
02746,4051,3175
02747,5211,4085
02748,2775,2175
02760,4059,6995
02762,918,2718
02763,299,516
02764,640,937
02766,3011,4409
02767,2411,3530
02769,1769,3049
02770,701,1489
02771,2193,3780
02777,2422,4173
02779,1060,1552
02780,8202,12008
02790,3843,3013
02791,74,58
02802,146,172
02804,381,776
02806,2669,4692
02807,194,395
02808,320,653
02809,3502,6155
02812,167,341
02813,1099,2241
02814,1345,1584
02815,44,52
02816,5624,8697
02817,1105,1709
02818,3372,5218
02822,816,1664
02823,28,34
02824,73,86
02825,939,1106
02826,146,172
02827,378,585
02828,1333,1571
02829,22,26
02830,1155,1360
02831,683,832
02832,669,1363
02833,64,131
02835,864,1519
02836,21,44
02837,563,989
02838,679,799
02839,333,392
02840,3721,6539
02841,189,332
02842,2663,4680
02852,3230,6584
02857,1488,1752
02858,105,123
02859,1196,1408
02860,8463,10361
02861,4915,6024
02863,3993,4890
02864,6488,7638
02865,3192,3758
02871,2746,4826
02872,36,63
02873,36,73
02874,841,1715
02875,48,98
02876,133,157
02878,2546,4475
02879,2874,5859
02881,1156,2357
02882,1770,3608
02885,1735,3049
02886,4974,7695
02888,3315,5128
02889,4789,7409
02891,2986,6088
02892,742,1512
02893,5253,8128
02894,112,228
02895,7719,9088
02896,1989,2342
02898,258,526
02903,2725,2050
02904,5889,6246
02905,5082,4837
02906,5250,3949
02907,6120,4616
02908,7899,5967
02909,9459,7141
02910,3814,4999
02911,2875,3674
02912,972,731
02914,3911,4789
02915,2933,3591
02916,1477,1808
02917,2630,3096
02918,643,484
02919,5118,6743
02920,6562,8654
02921,2153,2840
03031,1203,3471
03032,521,1660
03033,607,1640
03034,357,1138
03036,462,1472
03037,422,1345
03038,3030,9656
03042,729,2267
03043,214,393
03044,483,1504
03045,1239,3950
03046,434,725
03047,228,420
03048,409,880
03049,898,2428
03051,2597,7495
03052,867,2503
03053,2253,7181
03054,2723,7859
03055,1648,4757
03057,267,771
03060,3364,9090
03062,3117,8423
03063,1726,4662
03064,1622,4381
03070,541,1720
03071,688,1264
03076,1455,4198
03077,1090,3394
03079,3072,9564
03082,174,470
03084,183,337
03086,428,1156
03087,1390,4430
03101,586,1028
03102,4756,8908
03103,5739,10066
03104,5172,9083
03106,1300,4143
03109,1597,2800
03110,2048,6528
03215,75,127
03216,356,606
03217,284,480
03218,172,292
03220,1130,1924
03221,333,557
03222,842,1425
03223,500,846
03224,342,572
03225,584,993
03226,176,299
03227,170,289
03229,854,1428
03230,193,328
03231,12,21
03233,17,28
03234,696,1163
03235,1358,2311
03237,381,648
03238,7,12
03240,204,345
03241,141,238
03242,893,1493
03243,165,280
03244,1059,1946
03245,296,501
03246,2594,4414
03249,1182,2012
03251,240,406
03253,1006,1712
03254,754,1282
03255,311,520
03256,364,620
03257,653,1091
03258,379,634
03259,35,60
03260,116,193
03261,555,1316
03262,199,337
03263,590,987
03264,1034,1749
03266,308,521
03268,190,324
03269,464,789
03273,37,63
03275,1724,2884
03276,1346,2290
03278,452,757
03279,114,193
03280,176,299
03281,798,2544
03282,124,209
03284,133,226
03285,398,673
03287,215,366
03290,608,1444
03291,9,21
03293,10,16
03301,4814,8051
03303,2384,3987
03304,1187,1985
03307,808,1351
03431,3307,6078
03440,361,664
03441,46,85
03442,199,366
03443,81,149
03444,199,366
03445,88,162
03446,841,1546
03447,311,571
03448,100,183
03449,234,430
03450,129,236
03451,523,961
03452,705,1296
03455,282,518
03456,100,183
03457,107,197
03458,900,1654
03461,858,1577
03462,227,417
03464,157,289
03465,282,518
03466,162,297
03467,225,414
03470,662,1216
03561,881,1490
03570,1383,2340
03574,369,624
03575,15,25
03576,432,731
03579,75,109
03580,197,333
03581,449,760
03582,342,579
03583,153,259
03584,512,866
03585,386,653
03586,97,164
03588,245,415
03590,133,226
03592,160,271
03593,49,82
03595,104,177
03597,56,94
03598,497,842
03601,56,94
03602,354,635
03603,752,1273
