puma22,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0400131,14447,30896,303,1055,982,0,13023,4736,4196,7930,7191,1064,31.86
0400132,15521,34596,1291,1042,2470,1,11932,6639,3627,5672,6317,1846,30.97
0400133,19767,20423,1154,857,1624,142,15758,11695,1557,6481,7412,6080,49.18
0400134,19722,41539,1253,1224,1841,147,15783,7712,3514,9887,7848,3479,32.19
0400135,10169,46607,150,710,1480,0,9174,2697,1820,4687,3354,939,17.91
0400400,23317,17919,4528,291,693,124,18797,7775,4302,12552,10197,490,56.55
0400500,29009,26327,11687,872,1244,1,18151,6762,2765,10643,9530,4465,52.42
0400601,28873,25174,2167,499,788,86,26718,7530,4619,17256,12823,2235,53.42
0400602,26518,23107,1991,459,722,79,24538,6916,4239,15850,11782,2056,53.44
0400701,22587,18697,1342,362,1055,13,19116,14367,3659,10343,8267,7989,54.71
0400803,20844,36819,690,958,1720,0,19977,4973,4253,10446,8074,2213,36.15
0400805,17803,23189,2294,258,1158,12,14778,7557,3680,10388,8850,2344,43.43
0400807,25634,26280,2968,1914,5161,44,19425,12074,3008,11807,10357,4135,49.38
0400900,34252,32826,1164,1306,1510,0,30721,19224,6682,16943,14819,11122,51.06
0401000,38716,21247,25562,131,997,27,13704,6907,3691,18604,16142,10685,64.57
0401101,22969,18765,1281,361,1177,0,19015,16624,3733,9770,7990,9611,55.04
0401901,21315,21739,3930,248,786,0,13408,12720,3090,11631,7937,4547,49.51
0401902,22439,34028,1026,1593,882,0,19676,9323,3758,11156,8984,2853,39.74
0401903,14439,34730,709,656,1055,0,12486,3742,1755,7722,5574,1497,29.37
0401904,11370,40194,862,954,1116,0,10020,2572,1341,5050,3726,1237,22.05
0401905,13467,26514,1131,858,447,0,11370,5298,2767,5841,5166,1418,33.68
0401906,26943,26763,1924,1146,3624,146,22370,10614,3486,9288,9423,2941,50.17
0401907,30787,21760,2663,2297,2424,15,25738,11967,3027,8793,12371,4187,58.59
0401908,27493,14085,3072,408,1367,0,18984,23089,3133,9984,10395,10775,66.12
0401909,23310,25359,1623,1522,2812,190,18593,11023,3891,9511,8570,2277,47.89
0402502,27297,36846,1725,837,383,118,25963,6119,5470,15993,10573,1517,42.56
0402503,20285,27357,1281,623,285,88,19295,4552,4064,11880,7853,1126,42.58
0500101,22223,42178,1339,886,736,344,20585,5311,2673,8519,7695,2833,34.51
0500102,14668,27967,882,584,474,228,13591,3516,1761,5638,5093,1877,34.4
0500201,24604,28724,1659,1036,2406,199,22091,5046,3384,7472,7058,2481,46.14
0500202,18603,21716,1255,782,1821,151,16703,3814,2559,5647,5337,1875,46.14
0500300,36241,29470,1604,388,728,0,35602,2527,5016,17111,15838,1483,55.15
0500400,27500,18310,1206,75,604,136,26855,1622,3384,12889,12806,707,60.03
0500500,23817,19664,1180,371,3081,20,20920,1338,2647,9702,11819,280,54.78
0500600,36079,20933,2467,161,16747,0,20990,1628,3563,15907,18515,391,63.28
0500700,28308,22745,1482,407,6483,0,22333,1434,3040,11731,14507,292,55.45
0500800,23707,20017,1953,147,3904,0,20425,1882,3029,10667,10259,275,54.22
0500900,35406,41112,1569,1296,5462,0,30707,2055,3950,12787,14972,620,46.27
0501000,30454,20509,1856,885,1743,66,27788,4130,4487,12374,14300,3138,59.76
0501100,44923,36159,4464,2692,3319,0,37571,7520,7228,17921,20570,5161,55.4
0501200,30864,22175,1882,170,5260,0,24109,3129,3763,15251,13498,2449,58.19
0501300,37289,32689,1226,851,7553,0,31036,1418,4845,17184,17291,1302,53.29
0501400,24996,35459,787,400,5309,78,20287,1363,2224,10190,10005,905,41.35
0501501,41017,45106,1086,1497,18524,0,22673,3044,7151,15263,15580,1687,47.63
0501502,37340,48226,743,422,21919,0,15543,3892,4423,17180,11843,1327,43.64
0501600,34608,28190,581,112,16912,0,18312,919,2930,17426,16255,133,55.11
0501700,27829,21262,495,136,12847,0,15205,805,3149,12612,12659,162,56.69
0502800,18,25,0,0,0,0,18,1,1,8,8,1,41.86
0600101,16578,35398,266,5737,3338,95,9898,2708,789,5872,4394,2570,31.9
0600111,20163,25242,923,8113,6372,128,6817,3890,775,8227,7186,8435,44.41
0600112,11750,34091,618,2934,3118,225,7167,1987,657,4849,3314,1515,25.63
0600113,22265,18268,1083,3005,8170,38,5250,9277,1155,7443,6871,7222,54.93
0600114,27704,44103,1604,9599,4997,211,11805,8150,1692,13231,9965,11183,38.58
0600115,13681,21694,658,4429,2322,165,5115,5191,1379,6791,5454,5761,38.67
0600116,14204,16967,565,4418,2071,74,5032,6036,866,6500,4408,7891,45.57
0600117,10593,22384,365,5877,892,53,3571,3278,993,6099,3236,5777,32.12
0600118,11316,29303,296,6502,891,83,3810,2581,742,6346,3537,5480,27.86
0600119,9827,33972,322,3544,683,0,5498,2620,543,4003,3458,3296,22.44
0600120,9248,31959,303,3332,642,0,5175,2470,513,3764,3255,3101,22.44
0600121,9926,27949,230,5827,749,82,3349,1878,532,5515,3151,4523,26.21
0600122,13791,17186,565,4313,2060,85,4920,5777,913,6381,4442,7414,44.52
0600123,19358,19778,900,5972,6569,80,5568,5356,821,7342,6619,7645,49.46
0600300,35618,45829,3111,1547,349,0,32252,5917,5668,17824,15013,1913,43.73
0600700,40192,41161,3710,3686,2357,40,35518,11425,3948,15457,14664,3676,49.4
0601100,25655,19211,2302,319,257,88,21593,9550,2609,12031,10040,4712,57.18
0601301,23857,20649,1758,3244,8272,102,7882,10443,1594,9959,9141,9386,53.6
0601305,8352,42928,107,3544,261,61,5362,1238,497,4845,2123,2461,16.29
0601308,19643,18755,1375,3881,5594,279,8374,7005,2837,8618,7754,5791,51.16
0601309,13961,27719,425,2848,1453,4,9668,5378,1271,6314,5509,3623,33.5
0601310,17990,31706,1019,6003,4369,26,8688,4643,1132,9490,7550,6786,36.2
0601311,18031,29202,1645,3015,1589,205,12861,7256,882,7198,7334,5529,38.17
0601312,7075,31299,161,1808,200,0,5180,1322,903,3859,2490,1304,18.44
0601313,20408,46040,981,5149,1841,119,13206,6827,2153,10562,7944,7643,30.71
0601314,17502,16243,1077,4158,2829,86,7760,9334,852,7752,7909,8753,51.87
0601500,25382,24416,4315,1121,936,53,23289,5467,4157,13239,11674,1809,50.97
0601700,24554,50355,2138,1963,501,162,23023,4153,2953,11738,8631,1825,32.78
0601901,29582,11180,898,944,788,0,16674,24967,687,9601,8932,15204,72.57
0601902,31228,43505,1147,4574,3755,0,22562,12241,2966,13398,13090,5615,41.79
0601903,24968,10884,1589,4416,3088,44,13119,14787,1796,8597,9020,8599,69.64
0601904,40296,16787,1868,3778,7022,227,27703,25045,2575,15298,16336,10665,70.59
0601905,23180,10864,1063,4716,1835,0,13536,16839,1309,8630,8761,11914,68.09
0601906,15196,26228,1216,2428,734,0,12060,7372,1525,5841,5105,2648,36.68
0601907,21293,17455,1188,906,982,24,13219,16700,1673,8882,8413,9956,54.95
0602300,31636,23547,3638,1639,2411,52,27306,5374,1776,10831,12349,2054,57.33
0602500,31686,16164,675,991,1079,81,12409,28148,1883,15801,14643,20597,66.22
0602903,37183,13772,1172,1361,4497,99,22314,25806,2068,13904,12060,13931,72.97
0602904,25292,6250,611,822,2649,151,16918,20290,1492,8889,7316,12712,80.19
0602905,38031,30280,4366,1180,3599,299,30363,14207,6642,16537,15176,6564,55.67
0602906,26851,17175,740,2722,707,0,20528,18697,1182,8923,6996,14558,60.99
0602907,16415,16737,905,1521,1618,0,12751,9036,1480,6211,5677,5878,49.51
0602908,24794,30169,1724,2186,3375,0,19396,11777,2827,9954,9667,6514,45.11
0603100,24053,19090,830,1325,3211,194,14569,17478,3534,7400,7968,8863,55.75
0603300,33736,28010,5076,953,1780,94,28525,9357,4070,17718,15768,4280,54.64
0603703,29313,24675,1074,1685,8438,47,15644,13325,2666,11067,9964,6655,54.3
0603704,29522,21454,1525,2138,5227,2,16197,19534,1809,11834,10575,12724,57.91
0603705,25963,36640,1297,5025,3038,0,15694,10183,1828,12259,10648,9466,41.47
0603706,23479,20766,1003,3203,1679,49,12139,14463,1405,11616,8637,12199,53.07
0603707,24452,11766,740,1617,1165,0,12799,21109,773,12156,9768,15553,67.51
0603708,25366,16298,1685,2050,1285,0,17732,12479,1727,11910,9263,16674,60.88
0603709,11372,28951,398,1710,1652,0,7695,3260,677,6365,3703,2856,28.2
0603710,28139,23578,2608,6045,1576,45,13041,19285,1915,13878,11932,15884,54.41
0603711,19534,34655,1049,3529,1416,234,12825,6845,2391,10681,6710,5013,36.05
0603712,24876,15170,1938,3531,2346,4,11233,18694,1214,9747,8495,14410,62.12
0603713,14726,18659,627,4931,498,0,6220,8064,1156,7959,6421,6209,44.11
0603714,14964,19646,435,10994,179,227,2421,2985,1165,8699,3824,10405,43.24
0603715,18686,15113,987,4721,1508,0,7964,11351,1006,9863,7591,10240,55.29
0603716,14643,9012,941,2254,564,0,4435,11832,740,7658,5871,8894,61.9
0603717,30245,31888,898,18086,1983,58,9611,8204,2117,14639,8741,18027,48.68
0603718,20550,36182,341,4587,3040,0,10081,9308,189,8530,4810,8146,36.22
0603719,34618,36167,723,4000,592,0,27092,7420,604,18700,13309,21176,48.91
0603720,20550,29187,377,3121,1395,54,15734,4792,1238,11792,7522,8992,41.32
0603721,31247,23983,1100,3901,3725,97,21279,13385,827,11706,9735,14393,56.58
0603722,36884,26465,1733,4018,3431,0,21739,18803,1489,12834,11763,17926,58.22
0603723,26960,13886,657,3268,804,0,9521,19069,1273,10482,8143,18647,66.0
0603724,28579,35821,1326,3913,2676,0,18631,10994,1106,14127,8690,13052,44.38
0603725,30895,34949,1382,4134,3173,90,18305,11096,1220,13028,9421,12910,46.92
0603728,16976,33924,1230,2481,1341,0,14007,4576,432,8584,4464,3149,33.35
0603730,33351,39923,863,7868,6042,83,17678,10915,970,12612,8286,12211,45.52
0603731,19465,39251,232,3939,2699,0,14596,2832,1010,7136,5740,6114,33.15
0603732,41807,35288,2508,5286,4442,161,23798,16572,1477,14467,11902,17954,54.23
0603733,29499,15537,876,10317,2647,115,9419,14916,167,10415,6336,18974,65.5
0603734,46386,32156,2610,10006,6023,0,17239,24810,984,16932,12535,24521,59.06
0603735,31774,31142,2077,6967,1941,63,13830,19698,2522,16183,10642,15800,50.5
0603736,18518,23272,342,10480,976,97,6494,7251,1106,9014,5638,8387,44.31
0603737,23076,14750,1020,16434,813,0,2516,6469,705,14808,7305,16136,61.01
0603738,24584,8723,1749,7653,362,48,7303,17037,403,11618,8700,18999,73.81
0603739,20387,32531,887,4496,635,94,9105,13224,815,10976,7015,8495,38.53
0603740,20758,14916,1252,1860,102,0,7430,18111,905,9578,6638,11619,58.19
0603741,26825,7901,1722,446,502,0,15329,25774,561,10724,8553,20721,77.25
0603742,25765,7100,1117,172,1055,0,9832,24302,203,10208,9484,20920,78.4
0603743,21953,8519,1199,288,387,0,5929,21170,445,10864,7425,15652,72.04
0603744,46170,26630,2659,10544,5361,503,15063,25924,1306,17972,14777,24609,63.42
0603745,25473,4068,810,590,3031,43,6038,22393,271,8564,8620,20681,86.23
0603746,23861,7197,868,4489,5871,0,7223,13631,456,9720,8475,13071,76.83
0603747,36195,27970,1053,2701,18591,2,9278,14950,1980,16404,13920,10860,56.41
0603748,22170,59587,766,2772,4088,60,15489,4544,827,9334,5491,2357,27.12
0603750,42654,11462,938,812,19477,140,7829,23553,1615,19107,17693,20239,78.82
0603751,33679,5574,1749,662,9101,160,11582,25449,825,13312,15154,22549,85.8
0603752,30986,11973,1027,261,2427,89,13475,27918,924,13819,9779,22384,72.13
0603753,18800,16903,1242,1728,1326,0,10920,12993,1065,9183,7382,8430,52.66
0603754,17172,22354,1326,2482,633,148,8758,12080,1213,9881,5038,6725,43.44
0603757,29414,15239,859,465,10785,0,11320,19202,1804,13664,10821,9021,65.87
0603758,31131,21734,1600,6430,9857,45,10612,15162,2232,11794,9590,15138,58.89
0603759,22499,14298,1094,1332,5362,0,8629,14921,458,8257,6846,11280,61.14
0603760,10833,44766,226,1979,455,234,8912,1658,864,4356,2394,1783,19.48
0603761,14052,35271,570,5736,987,1,8647,3434,1087,7589,4967,4108,28.49
0603762,15270,17618,198,5493,3641,47,4810,6043,1794,9098,6133,7430,46.43
0603763,23753,20813,1105,4926,7698,127,9316,10990,1652,10869,9073,10018,53.3
0603764,21111,30025,1084,7752,2085,3,8862,8549,1537,12953,8290,8978,41.28
0603766,22969,13051,1185,3960,5289,0,10454,11445,1179,8685,7737,8139,63.77
0603767,32997,29702,1836,3564,3496,0,20751,21584,1275,11779,7748,16126,52.63
0603768,11402,29775,338,2972,653,0,7198,3307,1053,6790,3045,3184,27.69
0603770,15199,25786,556,3397,1508,27,10991,3908,613,5182,3363,3811,37.08
0603771,14198,20910,663,2090,1021,2,10122,6759,1085,6118,5550,3682,40.44
0603772,10592,20394,531,1108,1013,37,8138,5566,671,4886,3556,3369,34.18
0603773,16011,24576,761,2259,1208,10,11541,7726,1194,6972,6147,4280,39.45
0603774,16981,38432,587,3118,1589,253,14242,3001,1171,8991,3264,2841,30.64
0603775,15609,37291,428,2232,1159,0,13025,3031,577,5417,2929,2543,29.51
0603776,16002,27129,588,3569,1585,28,11577,4118,645,5455,3543,4010,37.1
0603778,22018,16610,652,801,11285,0,5610,9989,1936,9549,7824,7409,57.0
0603779,14155,37594,782,1547,1381,0,11274,5343,836,6633,4245,2122,27.35
0603780,22004,22922,796,4528,3697,85,10473,11315,997,7023,6260,8061,48.98
0603781,15834,11031,1545,2448,749,0,6600,12372,697,7966,6632,9594,58.94
0603782,23727,14168,1460,1988,3547,54,10604,16877,754,10596,8761,11976,62.61
0603900,25642,18407,1786,686,459,0,15535,18259,2098,11073,10943,10060,58.21
0604103,12849,26165,311,988,870,57,9955,3752,550,6357,4029,2296,32.93
0604104,16698,47666,691,1853,1068,5,12823,3882,476,8284,5602,3621,25.94
0604701,23245,11076,1347,1031,305,0,12057,15581,1166,7672,7468,10586,67.73
0604702,30567,20078,1200,3390,2689,257,13508,18824,2663,12689,13006,11185,60.36
0605301,26815,43447,1554,4257,2331,136,17840,11308,3653,12773,9307,7721,38.16
0605302,26862,18262,731,1601,1015,58,7922,22396,1212,9500,6363,18057,59.53
0605303,18061,20084,1030,537,135,0,8964,14629,501,7317,5691,10505,47.35
0605500,18750,30661,1299,2018,437,150,14521,7955,1339,9030,7761,6487,37.95
0605700,17828,25685,1117,1094,0,0,17032,2802,2177,10848,5508,1132,40.97
0605906,23297,42480,645,4389,783,0,15049,10246,2414,11472,8489,7975,35.42
0605907,27663,38098,386,5498,1755,87,16537,14432,2960,11393,8214,10873,42.07
0605908,22885,36989,1326,9645,1335,250,13281,8362,1954,12459,7313,9608,38.22
0605909,25837,17555,820,6080,1711,0,16216,14432,1587,10563,7459,14952,59.54
0605912,31011,20876,733,15606,795,1,9601,11073,2357,15882,11249,19289,59.77
0605913,26700,16317,546,12952,656,137,10171,10795,1499,12907,8616,17962,62.07
0605914,26399,52818,1260,4664,1078,454,20576,7604,2190,13322,7699,5046,33.32
0605916,22748,11834,649,7289,285,41,8212,13493,1269,11315,7970,16732,65.78
0605917,25082,14138,1273,2052,560,0,9185,21514,938,8960,4972,17901,63.95
0605918,22887,43859,1114,5571,1018,199,14298,8316,1273,10039,5990,8321,34.29
0605919,29062,32761,1281,5863,1405,1,17086,17241,1903,13742,9351,15174,47.01
0605920,15965,29623,703,2072,957,120,9618,8971,1159,6714,6014,5126,35.02
