puma22,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
1209909,16134,28858,107,622,1483,0,12757,4036,755,10025,4769,6505,35.86
1209910,10024,34775,219,485,1376,0,8602,2864,1262,6505,3908,1813,22.38
1209911,23144,28972,698,683,9649,0,12866,6992,2432,10231,7552,5213,44.41
1210101,23118,35714,974,454,2967,1,20071,5654,3379,12017,9696,3280,39.29
1210102,21578,28255,490,471,783,63,20365,3184,3946,12467,10054,2046,43.3
1210103,32957,28268,787,671,3774,93,29050,5901,4304,17838,14484,3634,53.83
1210104,16595,43023,445,1386,1555,101,14129,4506,3444,7029,5656,2979,27.84
1210301,16254,35732,276,389,741,0,14918,2512,2531,10657,6920,1750,31.27
1210302,19656,32938,161,427,851,2,18665,2281,3340,13498,7385,2199,37.37
1210303,19733,27588,792,980,3483,0,15734,3469,2125,10912,7604,1933,41.7
1210304,20617,29358,274,1225,2444,0,17596,2324,2315,11401,7886,1971,41.25
1210305,14600,34529,313,580,799,94,13312,1580,2711,9790,5518,1077,29.72
1210306,24308,26411,203,2121,3732,0,20446,3595,3601,13379,9840,3932,47.93
1210307,26533,45845,297,972,9172,0,17691,2644,2597,11969,8926,2038,36.66
1210308,16536,30037,623,534,3462,0,14052,2116,2171,9659,6881,1108,35.51
1210501,21312,19195,629,689,5107,0,14891,3537,2718,9762,8880,1634,52.61
1210502,34074,34563,603,512,7206,0,22117,12995,3142,14969,10411,7063,49.64
1210503,24224,34660,621,1118,2251,0,18077,8289,1936,11295,8690,4697,41.14
1210504,33201,27607,554,843,9152,0,22054,11633,3946,18150,14128,7774,54.6
1210505,24622,22980,642,673,5696,0,16850,5637,2890,11138,9457,2828,51.72
1210799,22128,21532,467,899,4992,0,18521,2395,3735,11852,8733,1398,50.68
1210902,9387,31191,42,211,1080,0,8342,985,1468,3868,2513,898,23.13
1210903,12640,41972,58,285,1455,0,11232,1318,1980,5217,3384,1207,23.15
1211101,21468,22179,555,320,6353,39,15163,5099,2496,11920,6939,4391,49.19
1211102,17272,23955,491,426,4270,11,13010,5194,2615,9556,6188,3332,41.89
1211103,18027,28479,538,539,3981,0,14038,6041,3071,9965,6795,3363,38.76
1211300,21453,50269,1340,1599,2634,15,19666,2474,6894,9204,8901,1902,29.91
1211501,19664,41489,156,479,3152,0,16677,3381,1544,11811,6172,2491,32.16
1211502,20112,50506,683,580,685,0,19667,1978,2727,12471,7682,1396,28.48
1211503,24046,48202,554,1021,717,0,22719,1760,5051,17692,10208,1662,33.28
1211701,13950,34422,220,756,4692,0,9806,4880,783,4700,3532,1092,28.84
1211702,20326,26699,915,492,4534,0,15407,7100,2922,9004,7496,2452,43.22
1211703,19886,27465,203,587,3541,412,16259,7438,2236,9712,4968,3260,42.0
1211704,10923,34309,131,813,2633,0,7170,3453,1443,5529,4480,1413,24.15
1211900,20912,43139,446,505,3912,0,17008,2022,4028,14242,8131,984,32.65
1212701,23605,29588,313,713,4119,0,17366,6223,3457,12401,10900,3436,44.38
1212702,33672,35451,393,1800,9503,0,23353,3745,4555,18547,13625,2418,48.71
1212703,31652,37697,1004,1039,2572,0,28800,3557,4745,19152,13312,978,45.64
1212704,22461,30311,219,325,2486,0,15250,8570,3765,11020,11052,2403,42.56
1300100,31666,37542,1379,307,2622,0,30335,1207,4229,15643,12969,601,45.75
1300200,17800,17946,692,420,1116,41,14078,6894,1188,8056,5072,5701,49.8
1300300,31473,40765,1759,952,861,0,30232,3489,4018,14380,11965,1264,43.57
1300400,24598,32848,901,156,1135,0,24144,1444,2320,13153,11843,894,42.82
1300500,25556,25372,1263,428,3709,65,22097,1565,2684,13095,8349,1228,50.18
1300601,16646,19837,700,341,2558,0,13339,5013,1570,6627,5971,3699,45.63
1300602,16347,19487,689,335,2509,0,13102,4924,1544,6506,5865,3634,45.62
1300701,7133,28411,308,996,1089,53,5874,1187,641,2769,2345,1239,20.07
1300702,10236,40687,441,1426,1559,77,8437,1705,920,3978,3359,1777,20.1
1300801,9001,30303,197,96,553,0,8338,990,1163,4474,3809,1225,22.9
1300802,15306,45384,1469,237,1064,0,11688,4332,2473,5159,6399,4349,25.22
1300900,14286,24281,359,380,2364,0,12031,1547,1340,6889,5339,975,37.04
1301000,29145,33397,1641,48,6056,0,22000,3236,2902,11699,12600,1979,46.6
1301100,20564,37607,696,371,5353,0,14759,2057,3932,7171,8549,627,35.35
1301200,20199,31248,652,438,11284,105,9500,1969,3031,6329,6547,1228,39.26
1301301,16735,33656,470,647,5671,0,11445,2302,1624,7768,5267,2246,33.21
1301302,10895,43309,857,1306,1553,0,9576,1236,1135,6229,4855,1514,20.1
1301303,24363,40495,946,1547,8810,0,11508,6107,1460,6553,5011,6084,37.56
1301304,15041,33448,811,721,8526,0,6114,2118,3364,6702,4193,1378,31.02
1301305,26465,48349,1054,1666,15034,52,10304,4665,4492,8294,6194,5315,35.37
1301401,13333,42114,780,952,3526,0,10262,1989,1469,5562,4667,2464,24.05
1301402,9527,41940,511,1435,2152,0,6117,1654,1297,3745,3404,1766,18.51
1301403,11264,40883,418,1240,3271,0,7035,1358,776,3825,2812,1522,21.6
1301404,19425,64518,274,2369,6800,0,12286,1599,1788,5958,4721,1806,23.14
1301405,23890,46130,915,1284,16704,0,7364,1424,1498,8855,8054,637,34.12
1301406,37575,26752,1094,888,33162,0,4576,2116,3144,17713,17236,1417,58.41
1301407,21734,23292,276,383,19523,0,2045,852,2496,8765,7987,831,48.27
1301408,19399,22566,288,394,17567,0,1492,584,2283,6621,6366,862,46.23
1301501,14740,44259,1977,1822,5041,0,6759,5197,638,4678,3335,5562,24.98
1301502,18606,27192,802,1724,10732,0,5930,2009,1615,5465,5467,4547,40.63
1301503,16847,27181,665,1326,11529,16,4802,1490,1786,7000,5906,2199,38.26
1301504,13984,30253,628,1263,7932,18,6389,988,1125,5769,4672,756,31.61
1301505,14775,24432,473,467,12839,7,2422,628,1960,6538,5010,870,37.68
1301506,17792,26109,548,656,16284,16,1728,1153,2424,8758,6869,1002,40.53
1301601,23736,35911,650,6048,9046,52,9265,5319,2242,5885,3037,7910,39.79
1301602,13236,31332,250,6174,1382,0,5952,2105,533,4979,3299,7142,29.7
1301603,15460,28819,743,2105,5377,9,7172,5172,2461,5214,6157,3719,34.91
1301604,17360,24322,511,2156,6766,27,7317,6041,2053,6024,5308,5929,41.65
1301605,19055,25333,913,2758,6551,21,7396,7696,1299,5306,4643,7952,42.93
1301606,20406,22479,956,2990,7135,27,7253,8649,648,5254,3691,9917,47.58
1301607,20640,25866,388,735,11134,0,9309,2690,2526,8507,6024,3411,44.38
1301700,24075,31303,594,666,4707,0,19407,3491,2670,9923,10454,2269,43.47
1301800,26161,29171,657,1955,10390,0,15851,2438,1372,7484,8338,1517,47.28
1301900,17954,31046,867,382,4029,0,14111,1582,2468,10451,7240,296,36.64
1302000,22278,26179,1347,273,7035,0,16170,1751,2768,10427,9273,1072,45.97
1302100,32420,42237,1165,712,19189,0,14552,3465,7633,14176,13856,2683,43.43
1302201,15011,27723,174,706,7402,0,7646,1517,2465,6360,5251,1263,35.13
1302202,15249,27033,1147,896,9233,0,6598,1237,1557,5815,5208,697,36.06
1302301,33388,23049,1766,2656,25001,0,5507,4256,3233,10252,9976,5361,59.16
1302302,26737,23041,1039,1144,19483,0,6190,5245,4351,9605,10643,4803,53.71
1302400,12584,31375,835,1005,4243,0,8064,1273,2672,6981,4892,1528,28.63
1302500,16425,38977,1177,280,4644,0,12063,1959,1862,8407,7118,952,29.65
1302600,19062,24797,1165,86,5191,0,14278,3280,1365,6662,8948,1436,43.46
1302700,19380,19553,389,355,7959,0,11703,628,2460,8587,9656,528,49.78
1302800,28398,30468,573,215,12426,0,17770,1432,4461,13230,11142,957,48.24
1302900,31515,34648,918,274,12107,0,20239,1580,3787,16318,11784,253,47.63
1303000,29575,28251,374,472,20907,0,9056,1059,3856,12485,10548,506,51.14
1303100,25819,20942,550,61,17345,0,9012,577,2749,12270,9086,446,55.21
1303200,15106,35803,620,795,4262,0,10374,1540,2676,7081,6586,1746,29.67
1303301,19608,17077,340,262,12766,0,7983,1258,3338,8115,8822,562,53.45
1303302,20191,17825,353,274,13089,0,8266,1297,3431,8357,9077,592,53.11
1303400,28196,29928,1138,650,10641,68,17681,1942,3293,10470,11432,194,48.51
1303500,29208,19059,1329,107,12720,0,17154,923,3685,15040,13529,524,60.51
1303600,26729,36616,1231,1464,14835,0,12928,2343,4771,9341,9276,1257,42.2
1303700,30272,26077,1012,381,17844,0,12851,1302,2912,14733,11803,717,53.72
1303800,40867,43071,871,1476,26412,142,14623,4977,9180,14121,15623,1652,48.69
1303900,26980,17528,1027,445,13938,0,12580,1185,2551,11016,11851,1134,60.62
1304000,24952,22423,271,208,18457,0,7002,621,3077,10451,9443,92,52.67
1304100,22848,19065,556,226,8460,82,13864,3276,2448,10011,8476,1720,54.51
1304200,27766,20987,991,73,11654,92,16739,1499,2898,11719,8732,675,56.95
1304300,24682,20457,152,562,13825,0,10936,2354,4882,7265,7752,618,54.68
1304400,33401,25317,1115,311,10005,0,23527,2308,4321,14183,12550,1642,56.88
1304500,31223,21173,1154,790,9341,0,21618,2783,3425,13931,12736,2311,59.59
1304600,22038,23518,1239,1059,9676,271,13294,3517,6786,8125,9256,1732,48.38
1304701,36478,33558,758,1072,23237,0,14627,3341,5249,14073,12759,1227,52.08
1304702,15746,35246,44,1056,4347,0,11231,2921,3120,6805,5888,691,30.88
1304800,26547,34843,934,610,6274,0,19052,2611,3256,11622,7031,1822,43.24
1500100,37837,41957,1480,19351,1145,12199,25716,7647,4051,20330,14191,6440,47.42
1500200,34847,37347,1955,15980,1669,13192,23660,5795,4040,18164,11520,4793,48.27
1500301,15543,12844,2032,6159,2907,7843,6900,3697,3119,6756,5347,2070,54.75
1500302,11403,26114,416,6285,780,4286,6551,2191,2645,6667,4477,1189,30.39
1500303,11588,28315,578,9190,79,2155,6275,1304,1339,8285,4177,3362,29.04
1500304,27251,37037,621,19002,1187,4864,10003,2746,3099,14689,7929,8450,42.39
1500305,18910,17664,398,12304,1158,3463,4952,2152,2199,10669,8010,8370,51.7
1500306,17272,30777,878,11587,1762,2491,7483,3859,5892,7600,6203,4507,35.95
1500307,15707,28380,1091,12661,888,4310,6999,2293,2684,8491,5851,4076,35.63
1500308,16630,22583,1197,11841,1293,4696,7276,2672,5410,7264,5503,5262,42.41
1600100,22831,30340,2368,851,493,199,22011,1203,3283,9848,8723,243,42.94
1600200,24653,41276,2012,824,844,0,23469,3043,5518,12382,9613,313,37.39
1600300,19860,24151,1008,153,216,0,19513,1237,3526,11603,8185,256,45.13
1600400,20387,29637,737,298,485,2,19268,3634,3771,9550,9589,1275,40.75
1600500,23599,24563,835,285,174,3,21167,8586,4343,9130,9131,3154,49.0
1600600,22403,35335,1210,1515,1527,1141,18118,6409,6138,7377,9719,3854,38.8
1600701,17099,33637,1046,872,747,0,15460,2613,2925,7664,4571,2753,33.7
1600702,16589,29863,498,936,532,301,15340,3031,1535,5891,5980,2079,35.71
1600800,18554,33571,980,848,574,370,16805,2777,873,5336,7289,1907,35.6
1600900,20418,22525,1486,859,110,0,17838,4424,2347,8698,8987,2625,47.55
1601000,18997,24845,908,192,457,0,16699,5776,3935,8778,7511,3674,43.33
1601100,21813,25169,991,362,273,0,21539,2735,2269,8756,7074,1149,46.43
1601200,17103,25778,784,300,344,0,15042,3465,2255,5338,8391,1192,39.88
1601300,22713,25929,2109,347,562,0,21263,3190,1845,8221,9450,884,46.69
1700100,25717,33569,1017,221,1641,12,25286,758,3040,13194,11912,384,43.38
1700701,21668,33209,651,725,1864,0,18725,3032,2291,8562,8439,2190,39.48
1701901,30551,40008,662,4370,8448,0,20183,3390,1643,6910,6492,3166,43.3
1701902,28259,32163,643,898,4541,0,23606,2269,2911,11115,9012,1587,46.77
1702900,24227,29322,1241,277,751,0,23774,869,2724,10638,11684,1140,45.24
1703101,16951,32695,517,2971,2054,295,11176,3498,1188,8029,5254,4907,34.14
1703102,16209,23168,324,2843,1661,0,9740,7289,817,6760,3842,7001,41.16
1703103,13129,28925,174,2609,1299,0,8941,4086,1780,4871,3110,4564,31.22
1703104,14083,34433,256,1978,703,0,10279,4397,538,6366,4443,5838,29.03
1703105,16309,34640,679,2181,372,0,11777,4048,1031,8105,5466,8560,32.01
1703106,13060,41385,222,3760,846,0,9476,1203,653,6866,4850,2463,23.99
1703107,21220,36889,218,5160,3633,0,13732,2943,879,10364,7286,5368,36.52
1703108,24252,42265,559,4617,1908,0,17835,4476,1205,12307,7247,10493,36.46
1703109,22328,23315,526,2420,1241,0,16017,7428,550,9489,5903,10012,48.92
1703110,17373,24517,366,654,7055,0,7377,5575,977,8771,6602,4161,41.47
1703111,18482,24984,506,723,5766,0,7669,8440,1029,8117,6457,6193,42.52
1703112,21599,27765,761,884,4237,0,8705,13470,1184,7717,6732,9771,43.75
1703113,22558,34754,607,951,1408,0,18193,7249,1439,11082,9543,8039,39.36
1703114,28881,38589,675,869,8299,0,17847,5098,2310,13377,9621,6888,42.81
1703115,16114,35340,264,858,1243,0,14124,1457,1297,8101,6097,3910,31.32
1703116,23640,29883,410,1080,8250,0,12710,4255,1643,11089,8545,3494,44.17
1703117,33309,22423,962,111,25012,130,6099,4599,2206,15742,11426,3527,59.77
1703118,29630,30659,710,226,19357,0,9773,4432,2899,14592,9085,3046,49.15
1703151,21437,34036,467,3983,1025,0,14872,7145,850,9742,5925,10563,38.64
1703152,26266,37168,451,5160,4344,0,16384,5106,914,9455,7859,9890,41.41
1703153,36882,50702,1787,6044,10714,0,22196,5845,591,12836,10107,9581,42.11
1703154,18189,75597,52,2667,2297,0,13767,3053,255,6056,5004,3136,19.39
1703155,22411,39714,740,2123,2443,0,14228,12460,471,7771,5795,11040,36.07
1703156,20595,28728,700,1370,885,0,15132,8893,1207,10377,4651,8637,41.76
1703157,37957,20106,1091,725,18343,0,12057,16460,1749,16122,13516,12435,65.37
1703158,39954,15783,1188,655,20656,0,11515,16795,1956,17305,14602,12479,71.68
1703159,24887,48913,759,2039,7204,0,13586,9698,375,7203,7182,5318,33.72
1703160,24073,81615,67,3543,5505,0,16482,1045,682,7176,4844,1809,22.78
1703161,40448,26939,1128,1725,35260,0,4225,1533,2050,16220,13982,2632,60.02
1703162,26195,25679,1432,5705,4294,0,11777,12994,716,9464,7483,12929,50.5
1703163,33183,17596,1708,2504,10769,0,13028,17694,1437,14315,10549,14751,65.35
1703164,29659,26308,1294,1071,6759,0,15219,16274,1532,15731,8603,14452,52.99
1703165,36350,10415,1471,105,29440,61,4744,7004,3377,18400,13528,4884,77.73
1703166,27285,22662,633,178,21939,0,4781,2377,1435,12793,10569,1497,54.63
1703167,35848,18453,806,52,30578,0,3672,4508,1510,15480,13085,2953,66.02
1703168,34185,19394,748,650,26260,0,5454,6020,1704,14550,10962,4156,63.8
1703700,24649,35655,1381,1310,3642,0,20896,4491,2313,8268,10876,1432,40.87
1704301,19466,39771,456,3402,3065,159,12717,5681,1264,8442,5169,6224,32.86
1704302,12116,31948,165,1151,956,0,9787,4450,736,6555,3526,3748,27.5
1704303,13610,35405,119,1403,1596,0,10334,2578,1225,6412,4289,2173,27.77
1704304,11127,32125,205,1964,1169,1,8692,1378,945,5052,3913,2444,25.73
1704305,13198,33287,1105,3158,3087,0,7009,1829,1525,4976,4705,3115,28.39
1704306,13308,36327,123,2060,1357,0,10305,1825,2141,6026,4127,2073,26.81
1704307,14332,44088,566,1798,2115,0,11176,2122,638,6667,5100,1988,24.53
1704900,21411,27746,1242,218,796,0,20927,604,3258,10250,9571,232,43.56
1707300,24523,32051,823,345,773,46,23969,1338,3120,10316,10686,905,43.35
1708901,9592,37331,4,506,944,0,8625,1450,933,5475,3506,1616,20.44
1708902,20243,28128,1064,1430,1916,78,12082,10604,1576,7866,6562,8032,41.85
1708903,13083,32449,426,1110,909,1,11531,1702,1608,5631,4434,1500,28.73
1708904,23338,18654,1006,449,3892,69,15564,16673,1552,6958,8447,10423,55.58
1709100,23223,36325,746,548,5068,65,17274,3513,2532,9437,8531,1300,39.0
1709300,14719,31711,995,227,1162,0,13044,3408,1569,5081,4242,1239,31.7
1709500,24457,36102,1039,295,916,0,23995,2303,2252,11848,9390,753,40.39
1709701,20381,34326,1100,873,2694,0,17221,7288,1835,7871,6581,4684,37.25
1709702,25115,24406,1186,1131,7970,0,13274,12690,2186,9540,7710,9130,50.72
1709703,16442,39958,798,2194,2063,0,11132,5309,1651,5762,5024,3999,29.15
1709704,6917,35703,294,400,166,0,6456,979,996,4724,2973,1014,16.23
1709705,10522,40206,319,1530,449,0,8121,1328,885,4909,3710,2687,20.74
1709900,25071,34531,1199,64,1379,0,23337,2804,3346,11001,9032,1441,42.06
1711101,16602,34768,387,517,767,0,15446,4792,2957,8467,6656,2321,32.32
1711102,18456,48046,415,873,686,0,17173,3896,2485,10013,6841,2141,27.75
1711300,24206,45057,310,587,5526,49,20340,1616,3493,5404,7224,1102,34.95
1711500,26760,31116,1280,666,6531,0,20854,596,2615,11245,7847,317,46.24
1711700,21601,28572,267,229,466,12,20946,1067,2273,12277,10083,628,43.05
1711901,27902,30881,1726,603,5191,0,24117,1848,3234,11279,13033,370,47.47
1711902,14136,36610,322,389,1778,0,12649,786,1261,6222,5502,579,27.86
1712100,27819,40468,1124,367,1733,71,26502,1042,3928,13493,13262,526,40.74
1713500,22033,33289,682,270,865,0,21651,432,2664,9455,8556,154,39.83
1714300,34633,44681,1892,1463,10375,206,24650,2804,2624,12071,12542,2783,43.67
1716100,24676,35511,2291,551,4078,117,19287,5131,1329,9045,9451,2692,41.0
1716301,26791,36322,2115,727,13159,0,15421,1780,4127,11408,10920,1106,42.45
1716302,19657,30113,1309,472,6918,21,13620,1254,3382,8754,7890,765,39.5
1716500,23883,27817,753,341,1480,0,22825,1101,2334,10814,13183,555,46.2
1716700,32442,51972,630,677,10212,0,24847,1078,3476,11561,11098,1161,38.43
1717900,20616,34593,471,224,1010,130,20371,1023,3126,8095,5436,106,37.34
1719500,28564,42728,478,241,2102,0,27266,2978,3622,13334,12611,1399,40.07
1719701,14223,44602,220,1841,3610,0,8409,2722,1489,5034,5384,3736,24.18
1719702,13662,31949,1166,1429,1769,0,10396,5292,1246,4538,4857,3274,29.95
1719703,24018,24892,1331,376,5860,0,14145,11232,2046,10266,7325,7204,49.11
1719704,8298,36109,234,305,253,0,8113,1387,1550,4339,3030,456,18.69
1719705,13069,31857,22,305,2216,0,10208,1686,1925,7311,4657,890,29.09
1719900,39960,36005,2428,795,5210,0,35604,2121,5223,14461,17965,970,52.6
1720101,39734,39396,1376,1244,10744,0,29662,9260,4111,16567,14407,4335,50.21
1800101,26271,16928,763,187,10429,0,9448,11955,1493,9319,10432,4612,60.81
1800102,26856,18421,651,334,15226,77,12155,6477,2442,10060,9179,904,59.31
1800103,19043,28820,704,878,4489,0,14219,2885,2224,11495,6848,1210,39.79
1800104,16216,39703,1277,1006,2068,0,14337,2165,2242,9049,5772,421,29.0
1800200,23674,44581,667,772,2281,0,21729,4141,2388,9768,7584,1366,34.68
1800300,18514,24931,927,947,2728,0,16416,2113,2623,8109,8232,118,42.61
1800401,20975,22457,658,473,8807,0,13338,3457,1252,8084,5489,1704,48.29
1800402,21891,41752,666,905,3088,33,19487,1276,1770,8894,6728,581,34.4
1800501,15228,20426,557,339,1684,0,13233,3041,1124,6751,5625,1761,42.71
1800502,14257,19106,520,316,1572,0,12391,2851,1053,6327,5270,1651,42.73
1800600,26214,35759,1562,244,764,0,25897,1942,2398,10736,10695,1715,42.3
1800700,17254,23515,1053,118,115,12,16571,1611,2702,8026,7158,805,42.32
1800800,19031,29108,721,446,680,0,18193,1773,1580,8900,8744,1062,39.53
1800900,20643,32798,1308,184,171,0,20056,1485,3098,9814,8034,648,38.63
1801001,30352,26370,1489,1420,8793,35,21278,4137,1692,9703,12234,3206,53.51
1801002,22726,30266,838,1554,4368,0,17320,3054,2781,7086,8718,2242,42.89
1801003,12704,32417,520,92,1429,0,11669,466,1026,6062,4130,572,28.16
1801100,19068,29990,505,60,470,30,18484,1958,2444,9436,6069,1466,38.87
1801200,33359,40165,882,4124,3594,0,26076,3297,2488,9178,7831,2380,45.37
1801300,25785,32613,1361,504,2689,86,23997,3228,4166,9004,11427,1049,44.15
1801400,23481,28742,1345,155,1292,171,22433,1721,2600,10077,11431,526,44.96
1801500,20452,22194,983,415,368,0,20034,728,2352,8899,9786,143,47.96
1801600,17901,23218,1060,0,226,0,17883,329,1966,8656,8525,260,43.53
1801700,22127,20012,429,560,3069,0,20130,729,2182,7583,9740,227,52.51
1801801,14210,44558,530,508,1405,0,13160,739,1111,5372,2916,1102,24.18
1801901,8438,46144,191,896,589,0,7461,948,674,4250,2367,1482,15.46
1801902,9381,37570,226,383,1652,218,7833,327,1086,4367,2491,865,19.98
1802000,27368,26541,2031,195,5019,0,24775,1825,2624,11744,12569,413,50.77
1802100,24344,21633,1541,606,3851,0,22569,1931,2341,8394,11601,537,52.95
1802200,18738,28389,539,425,184,0,18240,334,2765,8580,10238,241,39.76
1802300,15837,49914,573,827,2593,122,13234,1317,1705,6726,4815,1959,24.09
1802401,17875,28065,737,860,10823,0,6147,2053,927,6732,4530,2099,38.91
1802402,14566,33751,432,810,5977,161,9119,535,850,4651,5164,700,30.15
1802403,22187,28252,239,382,11411,1,11664,3823,986,9181,8732,2113,43.99
1802404,30827,26881,440,224,12955,0,17437,5717,1966,10021,13638,7038,53.42
1802405,35125,33506,826,964,16422,0,18808,2985,2714,13018,15305,2152,51.18
1802406,27575,33855,790,1286,12270,1,14738,3362,3617,10375,9811,3738,44.89
1802407,29164,32969,703,2761,4421,228,21430,2303,2305,7505,10714,3666,46.94
1802500,17143,44973,0,683,1819,0,15308,991,2238,6735,5427,401,27.6
1802600,18995,31689,433,0,1378,0,18541,1442,2594,9289,9276,574,37.48
1802700,23130,22448,1100,155,1473,0,22727,431,2132,10142,12319,231,50.75
1802800,31644,32787,1211,424,522,0,31385,1081,4159,14108,14313,198,49.11
1802900,27026,29688,667,3607,2341,0,22914,1917,1626,7021,8812,2487,47.65
1803000,20624,30046,507,874,618,134,17941,2901,2041,9210,7650,1713,40.7
1803100,16812,26182,892,140,1053,0,16623,648,1783,8541,7155,173,39.1
1803200,17263,30419,538,19,201,0,17087,262,2931,8811,6801,131,36.2
1803300,15767,33181,393,28,859,0,15237,634,1236,6819,6717,311,32.21
1803400,34226,45089,1246,254,5272,0,30588,1136,3812,14856,14007,229,43.15
1803500,23500,35043,937,246,134,0,23240,1143,2992,11369,9048,340,40.14
1803600,21798,35551,214,288,1524,1,20552,735,2924,10553,10870,450,38.01
1803700,21507,28088,842,761,4346,96,17556,1410,2655,8695,9709,755,43.37
1900100,16354,31242,1359,96,356,0,15629,1221,1490,8272,6418,59,34.36
1900200,20805,27474,1066,110,807,11,20127,1522,2029,11002,8112,636,43.09
1900301,14442,30732,484,459,2800,63,13502,1385,1874,5436,3595,695,31.97
1900302,15885,33793,530,504,3077,69,14852,1524,2061,5975,3957,764,31.98
1900400,18028,30667,658,303,582,0,17739,546,2823,8353,6923,689,37.02
1900500,23939,30012,1045,1346,3937,0,20007,1530,2898,9139,7717,1956,44.37
1900600,21336,32671,229,525,889,18,20259,2679,2745,9639,6902,895,39.51
1900700,24360,39429,388,177,1845,0,23119,1025,2676,9216,8986,596,38.19
1900800,22164,30550,1098,140,759,0,20885,2057,2769,11247,10126,557,42.05
1900900,28589,43535,1974,700,4581,378,25298,4642,3485,11467,12727,1183,39.64
1901100,20118,41183,802,1129,2150,0,16971,2331,368,5750,5780,2401,32.82
1901200,19130,27976,1445,81,866,35,17895,2787,2292,7913,6004,2122,40.61
1901300,19091,30601,1023,2486,1020,0,15979,1482,987,6291,5444,1549,38.42
1901400,14769,32680,91,240,560,101,14020,965,1214,6696,5794,563,31.13
1901501,19556,50928,369,1269,3901,0,15879,1662,1305,6968,6349,2176,27.75
1901502,13826,38434,343,322,1224,0,12738,1073,2040,6671,5468,859,26.46
1901503,36286,44717,861,3201,6387,0,27879,5043,2435,13160,13120,5649,44.8
1901600,13600,34711,184,670,2088,33,11622,1013,888,5165,4620,1170,28.15
1901800,19817,25528,398,93,800,0,19604,835,2116,9825,7705,428,43.7
1901900,21972,27814,988,1562,791,0,20260,3336,2811,10013,8428,922,44.13
1902000,21747,29690,1547,331,3023,0,18184,4866,1954,6286,10196,3507,42.28
1902100,29813,40273,787,184,753,0,29382,1996,3213,13229,12878,796,42.54
1902200,21455,25765,1430,404,829,26,20040,2007,2513,10127,9258,885,45.44
1902300,20372,22507,768,99,1963,0,18504,1146,1620,8673,8467,172,47.51
2000100,19370,26355,791,229,309,84,18688,1693,1676,8715,7986,856,42.36
2000200,24970,35037,1157,741,946,47,24584,2376,3370,11578,8099,24,41.61
2000300,23333,27685,1035,1548,3130,0,20443,4701,4285,5497,7481,2000,45.73
2000400,35892,26647,2469,1939,11116,0,20449,11413,2179,12490,13377,8625,57.39
2000501,27900,29083,971,843,5947,39,21780,5909,2764,12266,11658,1926,48.96
2000601,15784,35634,874,226,1721,115,14588,1205,2344,6903,5649,450,30.7
2000700,20742,29017,1143,1832,2130,0,18623,2315,1729,5085,5583,1492,41.68
2000801,12441,39759,183,460,2177,0,10039,793,1656,5529,4646,681,23.83
2000802,16445,51796,456,881,2141,0,13037,2406,993,6681,6302,2085,24.1
2000803,11158,50351,332,1170,931,0,9348,250,1174,4179,2740,1016,18.14
2000804,19965,43728,1593,1583,2603,0,16911,2925,1650,8817,8010,2240,31.35
2000900,15872,31083,1452,69,1170,4,15098,1444,1983,6795,7380,635,33.8
2001000,28669,32744,2513,198,1427,81,27730,2153,2625,12413,13778,1009,46.68
2001101,27009,27876,2013,875,1430,25,25831,3483,2525,10686,12121,1532,49.21
2001201,20443,43878,1273,1411,4477,0,15544,2497,2056,6906,7587,1547,31.78
2001301,20415,41691,721,942,2063,0,19547,3358,1707,8953,7785,1690,32.87
2001401,30281,19434,3240,1784,8696,0,22741,6283,3349,10409,12365,4723,60.91
2001501,25792,39289,1812,1162,4298,347,21046,5527,2319,8616,12368,2905,39.63
2001600,16350,25215,595,44,717,0,15943,1516,1220,8420,7969,179,39.34
2001701,18011,24889,1306,73,616,0,17049,1880,1887,7933,7244,594,41.98
2001800,18661,28283,1845,1528,1298,0,13826,8780,542,6958,7190,7000,39.75
2100100,37170,40251,1215,45,4940,86,33661,2247,4320,18049,17034,492,48.01
2100200,24945,18328,1010,43,1482,504,24109,1173,1807,12158,15599,56,57.65
2100300,22217,18243,826,218,5185,11,18074,1147,4719,7357,9241,661,54.91
2100400,38207,30616,2534,473,1711,0,37040,1859,2745,16589,18413,1416,55.51
2100500,25029,28064,921,1812,5295,0,19374,2429,2637,6898,8867,3736,47.14
2100600,24069,16790,669,333,1293,51,23089,645,1668,11069,12681,567,58.91
2100700,24691,13750,1053,0,863,147,24227,683,3061,12328,13905,197,64.23
2100800,28043,15446,466,138,347,0,27672,471,3237,11765,14027,218,64.48
2100900,30725,13624,1313,345,1016,0,29914,417,1975,13644,13710,101,69.28
2101000,29671,8250,1239,17,327,0,29577,122,1911,14755,18753,127,78.24
2101100,37881,17124,1007,86,740,0,37264,688,2882,17232,24257,677,68.87
2101200,28268,36798,1467,398,3639,35,26119,1404,4209,12027,13971,756,43.45
2101300,18700,23019,1073,461,2929,41,17056,1219,3050,7658,8879,424,44.82
2101400,19036,25226,1252,66,2311,0,17717,1045,1750,8090,11346,674,43.01
2101500,16901,24673,977,478,1076,0,15997,922,2116,7547,7789,725,40.65
