county,CountyName,rural,Num Eligible,Num Ineligible,Percentage Eligible
05029,Conway AR,1.0,4841,3266,59.71
05031,Craighead AR,0.0,23464,18867,55.43
05033,Crawford AR,0.0,13166,10600,55.4
05035,Crittenden AR,0.0,11299,6555,63.29
05037,Cross AR,1.0,3946,2283,63.35
05039,Dallas AR,1.0,1367,1051,56.53
05041,Desha AR,1.0,2263,1857,54.93
05043,Drew AR,1.0,3468,2819,55.16
05045,Faulkner AR,0.0,22086,25672,46.25
05047,Franklin AR,1.0,3743,3018,55.36
05049,Fulton AR,1.0,2850,1895,60.06
05051,Garland AR,0.0,21547,18892,53.28
05053,Grant AR,1.0,2907,4176,41.04
05055,Greene AR,0.0,9697,8006,54.78
05057,Hempstead AR,1.0,4287,3283,56.63
05059,Hot Spring AR,1.0,7084,6226,53.22
05061,Howard AR,1.0,2960,2129,58.16
05063,Independence AR,1.0,8951,5965,60.01
05065,Izard AR,1.0,3214,2144,59.99
05067,Jackson AR,1.0,3426,2919,54.0
05069,Jefferson AR,0.0,13419,10926,55.12
05071,Johnson AR,1.0,6036,4058,59.8
05073,Lafayette AR,1.0,1339,1029,56.55
05075,Lawrence AR,1.0,3434,2836,54.77
05077,Lee AR,1.0,2019,1173,63.25
05079,Lincoln AR,1.0,2583,2104,55.11
05081,Little River AR,1.0,2785,2007,58.12
05083,Logan AR,1.0,4890,3506,58.24
05085,Lonoke AR,0.0,13224,15374,46.24
05087,Madison AR,1.0,3835,3116,55.17
05089,Marion AR,1.0,3915,3184,55.15
05091,Miller AR,0.0,9846,7072,58.2
05093,Mississippi AR,1.0,9533,5537,63.26
05095,Monroe AR,1.0,1368,1167,53.96
05097,Montgomery AR,1.0,1800,1582,53.22
05099,Nevada AR,1.0,1765,1356,56.55
05101,Newton AR,1.0,1684,1369,55.16
05103,Ouachita AR,1.0,4830,3692,56.68
05105,Perry AR,1.0,1608,2326,40.87
05107,Phillips AR,1.0,3880,2247,63.33
05109,Pike AR,1.0,2160,1904,53.15
05111,Poinsett AR,1.0,4844,3891,55.46
05113,Polk AR,1.0,4438,3193,58.16
05115,Pope AR,0.0,14822,9988,59.74
05117,Prairie AR,1.0,1679,1422,54.14
05119,Pulaski AR,0.0,78386,93358,45.64
05121,Randolph AR,1.0,3940,3251,54.79
05123,St. Francis AR,1.0,5408,3146,63.22
05125,Saline AR,0.0,20358,28898,41.33
05127,Scott AR,1.0,2275,1628,58.29
05129,Searcy AR,1.0,1812,1478,55.08
05131,Sebastian AR,0.0,27986,22525,55.41
05133,Sevier AR,1.0,3650,2637,58.06
05135,Sharp AR,1.0,3660,3015,54.83
05137,Stone AR,1.0,2915,1943,60.0
05139,Union AR,1.0,8332,6370,56.67
05141,Van Buren AR,1.0,3733,2480,60.08
05143,Washington AR,0.0,43224,50444,46.15
05145,White AR,0.0,15840,13370,54.23
05147,Woodruff AR,1.0,1255,1079,53.77
05149,Yell AR,1.0,4738,3192,59.75
06001,Alameda CA,0.0,210708,378522,35.76
06003,Alpine CA,1.0,205,277,42.53
06005,Amador CA,1.0,7505,9659,43.73
06007,Butte CA,0.0,40192,41161,49.4
06009,Calaveras CA,1.0,8398,10821,43.7
06011,Colusa CA,1.0,4216,3158,57.17
06013,Contra Costa CA,0.0,146934,264651,35.7
06015,Del Norte CA,1.0,5286,5091,50.94
06017,El Dorado CA,0.0,24554,50355,32.78
06019,Fresno CA,0.0,185745,136902,57.57
06021,Glenn CA,1.0,5598,4191,57.19
06023,Humboldt CA,0.0,31636,23547,57.33
06025,Imperial CA,0.0,31686,16164,66.22
06027,Inyo CA,1.0,3527,4544,43.7
06029,Kern CA,0.0,168576,114396,59.57
06031,Kings CA,0.0,24053,19090,55.75
06033,Lake CA,1.0,14381,11942,54.63
06035,Lassen CA,1.0,6236,6008,50.93
06037,Los Angeles CA,0.0,1702619,1673355,50.43
06039,Madera CA,0.0,25642,18407,58.21
06041,Marin CA,0.0,29547,73831,28.58
06043,Mariposa CA,1.0,3187,4093,43.78
06045,Mendocino CA,1.0,19354,16068,54.64
06047,Merced CA,0.0,53812,31154,63.33
06049,Modoc CA,1.0,1664,1601,50.96
06051,Mono CA,1.0,2441,3155,43.62
06053,Monterey CA,0.0,63590,72732,46.65
