puma22,Num Eligible,Num Ineligible,Percentage Eligible
0603770,15199,25786,37.08
0603771,14198,20910,40.44
0603772,10592,20394,34.18
0603773,16011,24576,39.45
0603774,16981,38432,30.64
0603775,15609,37291,29.51
0603776,16002,27129,37.1
0603778,22018,16610,57.0
0603779,14155,37594,27.35
0603780,22004,22922,48.98
0603781,15834,11031,58.94
0603782,23727,14168,62.61
0603900,25642,18407,58.21
0604103,12849,26165,32.93
0604104,16698,47666,25.94
0604701,23245,11076,67.73
0604702,30567,20078,60.36
0605301,26815,43447,38.16
0605302,26862,18262,59.53
0605303,18061,20084,47.35
0605500,18750,30661,37.95
0605700,17828,25685,40.97
0605906,23297,42480,35.42
0605907,27663,38098,42.07
0605908,22885,36989,38.22
0605909,25837,17555,59.54
0605912,31011,20876,59.77
0605913,26700,16317,62.07
0605914,26399,52818,33.32
0605916,22748,11834,65.78
0605917,25082,14138,63.95
0605918,22887,43859,34.29
0605919,29062,32761,47.01
0605920,15965,29623,35.02
0605921,16271,32424,33.41
0605922,15490,29074,34.76
0605923,19560,32393,37.65
0605924,14454,26406,35.37
0605925,20941,57538,26.68
0605926,11101,32896,25.23
0605927,8608,29025,22.87
0605928,18719,54287,25.64
0606101,20252,40051,33.58
0606102,14932,34988,29.91
0606103,14935,30760,32.68
0606501,36057,25352,58.72
0606502,26986,31085,46.47
0606507,29782,25915,53.47
0606509,22828,12962,63.78
0606511,24605,23767,50.87
0606514,20467,25430,44.59
0606515,33208,32707,50.38
0606516,15703,18958,45.3
0606517,17471,21064,45.34
0606518,14664,12707,53.57
0606519,14509,12403,53.91
0606520,18750,25337,42.53
0606521,11909,20065,37.25
0606522,18277,22935,44.35
0606523,16602,29737,35.83
0606524,23559,34365,40.67
0606525,27310,18304,59.87
0606701,20587,23704,46.48
0606703,17833,29975,37.3
0606704,30694,20020,60.52
0606705,20897,28154,42.6
0606706,21114,17062,55.31
0606707,22294,38770,36.51
0606709,27214,23828,53.32
0606712,10313,33582,23.49
0606713,15767,22607,41.09
0606714,29837,20036,59.83
0606715,11744,20555,36.36
