zcta,Num Eligible,Num Ineligible,Percentage Eligible
01370,635,877,42.0
01373,731,1009,42.01
01375,589,813,42.01
01376,860,1187,42.01
01378,127,175,42.05
01379,125,172,42.09
01380,13,19,40.62
01420,7921,9886,44.48
01430,929,1567,37.22
01431,374,834,30.96
01432,962,2145,30.96
01434,292,394,42.57
01436,473,797,37.24
01438,61,102,37.42
01440,3184,5369,37.23
01450,1320,2945,30.95
01451,1031,1287,44.48
01452,638,1076,37.22
01453,8263,10313,44.48
01460,782,2904,21.22
01462,2233,2787,44.48
01463,1358,3029,30.96
01464,869,1938,30.96
01468,637,1073,37.25
01469,825,1841,30.95
01473,1213,2044,37.24
01474,242,540,30.95
01475,1520,2563,37.23
01501,2203,4156,34.64
01503,363,841,30.15
01504,1272,2303,35.58
01505,556,1290,30.12
01506,453,855,34.63
01507,1840,3331,35.58
01510,2278,3840,37.23
01515,293,554,34.59
01516,1238,2240,35.6
01518,439,795,35.58
01519,832,1929,30.13
01520,2158,4072,34.64
01521,425,647,39.65
01522,456,861,34.62
01523,1582,1974,44.49
01524,871,1643,34.65
01525,11,20,35.48
01527,1817,3429,34.64
01529,439,795,35.58
01531,147,248,37.22
01532,1804,4185,30.12
01534,861,1559,35.58
01535,624,1177,34.65
01536,861,1997,30.13
01537,296,536,35.58
01540,1525,2760,35.59
01541,515,869,37.21
01542,312,587,34.71
01543,1190,2246,34.63
01545,4392,10185,30.13
01550,2451,4438,35.58
01560,561,1302,30.11
01561,11,14,44.0
01562,1579,2980,34.63
01564,1178,1986,37.23
01566,924,1673,35.58
01568,905,2099,30.13
01569,1962,3552,35.58
01570,2455,4446,35.57
01571,1646,2981,35.57
01581,2472,5734,30.12
01583,1008,1901,34.65
01585,645,1217,34.64
01588,1396,2528,35.58
01590,1281,2319,35.58
01602,5473,3899,58.4
01603,4832,3446,58.37
01604,8899,6331,58.43
01605,6297,4480,58.43
01606,4646,3339,58.18
01607,2007,1451,58.04
01608,1077,768,58.37
01609,5146,3666,58.4
01610,6189,4405,58.42
01611,300,565,34.68
01612,665,1255,34.64
01701,4957,7753,39.0
01702,5931,9288,38.97
01718,53,196,21.29
01719,425,1578,21.22
01720,1790,6649,21.21
01721,2155,4743,31.24
01730,1312,4213,23.75
01731,140,451,23.69
01740,1070,1335,44.49
01741,404,1499,21.23
01742,1430,5309,21.22
01745,49,113,30.25
01746,1715,3775,31.24
01747,831,1504,35.59
01748,2146,4724,31.24
01749,1549,5753,21.21
01752,6277,9818,39.0
01754,828,3073,21.23
01756,861,1559,35.58
01757,3492,8099,30.13
01760,4193,9230,31.24
01770,504,1109,31.25
01772,1147,2661,30.12
01773,509,1636,23.73
01775,554,2057,21.22
01776,1459,5419,21.21
01778,1616,3558,31.23
01801,5669,10890,34.24
01803,2350,7544,23.75
01810,6382,6391,49.96
01821,2623,8868,22.83
01824,3142,7008,30.96
01826,2789,9360,22.96
01827,393,877,30.94
01830,6158,3604,63.08
01832,5734,3356,63.08
01833,1032,2158,32.35
01834,828,1731,32.36
01835,3257,1906,63.08
01840,1275,1276,49.98
01841,9612,9624,49.97
01843,5078,5085,49.97
01844,11839,6932,63.07
01845,3963,8102,32.85
01850,3252,2887,52.97
01851,6383,5662,52.99
01852,7166,6360,52.98
01854,5769,5124,52.96
01860,825,1724,32.37
01862,971,3281,22.84
01863,1114,2485,30.95
01864,2157,4144,34.23
01867,3537,6794,34.24
01876,2642,8925,22.84
01879,1445,3225,30.94
01880,3752,7208,34.23
01886,2877,6417,30.96
01887,2105,6755,23.76
01890,2070,6646,23.75
01901,581,486,54.45
01902,10556,8825,54.47
01904,4151,3470,54.47
01905,5777,4829,54.47
01906,3822,7189,34.71
01907,2322,4028,36.57
01908,694,580,54.47
01913,2131,4455,32.36
01915,6486,11277,36.51
01921,1014,2120,32.35
01922,384,804,32.32
01923,3738,7031,34.71
01929,483,908,34.72
01930,4555,7919,36.52
01937,14,26,35.0
01938,1841,3462,34.72
01940,1779,3346,34.71
01944,826,1435,36.53
01945,3133,5448,36.51
01949,1305,2455,34.71
01950,2245,4693,32.36
01951,439,918,32.35
01952,1134,2370,32.36
01960,7235,13607,34.71
01965,50,88,36.23
01966,1071,1861,36.53
01969,757,1582,32.36
01970,6809,11839,36.51
01982,1018,1915,34.71
01983,877,1649,34.72
01984,665,1251,34.71
01985,552,1155,32.34
02019,1564,4632,25.24
02021,4176,5155,44.75
02025,1136,2275,33.3
02026,3017,6702,31.04
02030,435,1634,21.02
02032,448,1326,25.25
02035,1718,5087,25.25
02038,3071,9092,25.25
02043,2860,6726,29.84
02045,1187,2791,29.84
02047,44,103,29.93
02048,3743,5479,40.59
02050,3058,7193,29.83
02052,940,3533,21.01
02053,963,3621,21.01
02054,621,2336,21.0
02056,1076,3187,25.24
02061,1338,3147,29.83
02062,5416,6686,44.75
02066,2186,5143,29.83
02067,3179,3924,44.76
02071,89,264,25.21
02072,5017,6193,44.75
02081,1902,5624,25.27
02090,1194,4489,21.01
02093,1124,3328,25.25
02108,788,1195,39.74
02109,731,1108,39.75
02110,545,825,39.78
02111,1811,2745,39.75
02113,1330,2015,39.76
02114,2699,4090,39.76
02115,5625,5844,49.05
02116,4364,6613,39.76
02118,5775,7451,43.66
02119,7838,3019,72.19
02120,4424,1962,69.28
02121,7816,2853,73.26
02122,4101,5904,40.99
02124,10726,9374,53.36
02125,7095,6772,51.16
02126,5862,2688,68.56
02127,6346,9236,40.73
02128,8030,12169,39.75
02129,3565,5403,39.75
02130,6841,8873,43.53
02131,4942,7809,38.76
02132,4386,6931,38.76
02133,9,14,39.13
02134,3422,3702,48.03
02135,7446,8055,48.04
02136,5689,8961,38.83
02138,5152,11332,31.25
02139,5355,11802,31.21
02140,2907,6401,31.23
02141,2050,4518,31.21
02142,610,1344,31.22
02143,4871,5782,45.72
