metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,40,0,0,1,0,0,0,0,0,0,128,0,0,128,0,0,128
99999,42,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,141
99999,42,0,0,0,0,0,0,0,0,0,48,0,0,48,48,0,48
99999,42,0,0,1,1,0,131,0,0,0,131,0,0,0,131,0,131
99999,43,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,382
99999,44,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,212
99999,44,0,1,1,1,0,0,0,0,0,198,0,0,0,198,0,198
99999,45,0,0,1,0,0,0,0,0,0,44,0,0,0,0,0,44
99999,45,0,0,1,0,0,0,0,0,0,522,0,0,522,522,0,522
99999,47,0,0,0,0,0,0,0,0,0,48,0,0,48,0,0,48
99999,48,0,0,1,0,0,0,0,0,0,179,0,0,179,0,0,179
99999,48,0,1,1,0,0,0,0,0,0,283,283,0,0,283,0,283
99999,49,0,0,0,0,0,0,0,0,0,32,0,0,32,32,0,32
99999,50,0,0,1,0,0,0,0,0,0,155,0,0,155,0,0,155
99999,51,0,0,1,0,0,0,0,0,0,27,0,0,27,0,0,27
99999,51,0,0,1,1,0,0,0,0,0,117,0,0,117,0,0,117
99999,52,0,0,0,0,0,0,0,0,0,28,0,28,28,0,0,28
99999,52,0,0,1,0,0,0,0,0,0,158,0,0,0,0,0,158
99999,52,1,0,1,1,0,0,0,0,0,329,0,0,0,329,0,329
99999,52,1,0,1,1,0,0,0,0,0,47,0,0,47,47,0,47
99999,52,1,1,1,1,0,0,0,0,0,44,0,0,0,44,0,44
99999,54,0,0,1,0,0,0,0,0,0,36,0,0,36,36,0,36
99999,54,0,0,1,1,0,0,0,0,0,29,0,0,0,0,0,29
99999,54,1,0,1,1,0,0,0,0,0,171,0,0,0,171,0,171
99999,55,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,81
99999,55,0,0,1,1,0,0,0,0,0,19,0,0,0,0,0,19
99999,55,0,1,1,0,0,0,0,0,0,96,0,0,0,96,0,96
99999,56,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33
99999,56,0,0,0,0,0,0,0,0,0,56,0,0,56,0,0,56
99999,56,0,0,1,0,0,0,0,0,0,27,0,0,27,0,0,27
99999,57,0,0,0,0,0,0,0,0,0,56,0,0,56,56,0,56
99999,57,0,0,1,1,0,0,0,0,0,68,0,0,68,0,0,68
99999,58,0,0,0,0,0,167,0,0,0,167,0,0,0,0,0,167
99999,58,0,1,1,1,0,0,0,0,0,223,0,0,0,0,0,223
99999,58,1,0,1,1,0,83,0,0,0,83,0,0,0,83,0,83
99999,59,0,0,0,0,0,0,0,0,0,114,0,0,114,0,0,114
99999,59,0,0,0,0,0,0,0,0,0,65,0,0,65,65,0,65
99999,59,0,0,1,0,0,0,0,0,0,15,0,15,15,15,0,15
99999,59,0,0,1,1,0,0,0,0,0,317,0,0,0,317,0,317
99999,62,0,0,0,1,0,0,0,0,0,22,0,0,22,0,0,22
99999,62,0,0,1,0,0,0,0,0,0,122,0,0,0,122,0,122
99999,63,0,0,1,1,0,0,0,0,0,106,0,0,0,0,0,106
99999,64,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,64
