county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
04027,42060,34560,2415,666,2068,11,35173,28765,6825,18510,14976,16360,54.89
05001,3423,2788,57,11,1672,0,1812,91,290,1724,1608,13,55.11
05003,3804,3098,64,12,1858,0,2013,101,322,1915,1786,15,55.11
05005,9691,7880,429,103,194,0,9520,675,1340,4575,4236,396,55.15
05007,36913,70159,2223,1471,1211,572,34195,8835,4437,14164,12798,4714,34.47
05009,8701,7076,385,93,175,0,8548,606,1203,4108,3803,356,55.15
05011,2104,1714,35,7,1028,0,1114,56,178,1060,988,8,55.11
05013,1010,772,18,5,466,0,552,29,114,458,459,6,56.68
05015,6578,5349,291,70,132,0,6462,458,910,3105,2875,269,55.15
05017,2035,1658,34,7,994,0,1077,54,172,1025,956,8,55.1
05019,4616,4047,152,105,936,0,3842,176,600,2127,2140,161,53.28
05021,3085,2546,153,48,399,3,2710,173,343,1257,1530,36,54.79
05023,5845,3892,256,16,129,29,5707,345,720,2740,2722,150,60.03
05025,1505,1226,25,5,735,0,797,40,127,758,707,6,55.11
05027,4863,3715,87,24,2244,0,2658,141,550,2204,2212,28,56.69
05029,4854,3267,296,141,278,11,4429,658,716,1974,2279,500,59.77
05031,23471,18862,1228,337,5380,0,18514,1189,2517,9725,12030,242,55.44
05033,13170,10605,1309,790,973,0,11015,2205,2120,5253,6030,1513,55.39
05035,11290,6549,772,50,5243,0,6566,509,1115,4977,5794,122,63.29
05037,3944,2288,270,18,1831,0,2294,178,389,1739,2024,43,63.29
05039,1383,1056,25,7,638,0,756,40,157,627,629,8,56.7
05041,2274,1852,38,7,1111,0,1203,60,193,1145,1068,9,55.11
05043,3461,2819,58,11,1691,0,1832,92,293,1743,1626,13,55.11
05045,22161,25722,982,811,3422,0,19217,1286,2474,8011,9373,389,46.28
05047,3745,3016,372,225,277,0,3132,627,603,1494,1715,430,55.39
05049,2856,1902,125,8,63,14,2789,169,352,1339,1330,73,60.03
05051,21570,18911,708,492,4371,0,17951,821,2802,9939,9999,754,53.28
05053,2973,4211,94,48,633,9,2410,162,266,1213,1192,108,41.38
05055,9698,8004,480,151,1253,8,8519,545,1079,3952,4811,114,54.78
05057,4282,3271,76,21,1976,0,2341,124,485,1941,1947,25,56.69
05059,7113,6236,233,162,1442,0,5919,271,924,3278,3297,249,53.28
05061,2960,2126,180,16,504,0,2312,300,361,1462,1295,235,58.2
05063,8974,5975,393,24,199,44,8762,530,1105,4207,4179,231,60.03
05065,3212,2139,141,9,71,16,3136,190,395,1506,1496,83,60.03
05067,3456,2919,285,21,569,0,2977,275,441,1554,1495,40,54.21
05069,13421,10932,225,43,6557,0,7103,356,1137,6759,6304,52,55.11
05071,6034,4061,368,175,346,13,5506,818,890,2454,2833,621,59.77
05073,1347,1029,24,7,621,0,736,39,152,610,612,8,56.69
05075,3438,2837,170,54,444,3,3020,193,382,1401,1705,41,54.79
05077,2017,1170,138,9,937,0,1173,91,199,889,1035,22,63.29
05079,2582,2103,43,8,1261,0,1366,69,219,1300,1213,10,55.11
05081,2783,1999,169,15,474,0,2174,282,339,1375,1218,221,58.2
05083,4893,3515,298,27,833,0,3823,496,596,2418,2140,388,58.19
05085,13279,15413,589,486,2051,0,11515,771,1482,4800,5616,233,46.28
05087,3845,3127,170,41,77,0,3777,268,532,1815,1681,157,55.15
05089,3918,3186,173,42,79,0,3849,273,542,1849,1712,160,55.15
05091,9861,7083,600,55,1679,0,7704,1000,1202,4872,4313,782,58.2
05093,9536,5532,652,43,4428,0,5546,430,941,4204,4894,103,63.29
05095,1403,1185,116,9,231,0,1209,111,179,631,607,16,54.21
05097,1825,1600,60,42,370,0,1519,69,237,841,846,64,53.28
05099,1772,1354,32,9,818,0,969,51,201,803,806,10,56.69
05101,1682,1367,74,18,34,0,1652,117,233,794,735,69,55.17
05103,4833,3692,86,24,2230,0,2642,140,547,2190,2198,28,56.69
05105,1659,2351,53,27,354,5,1345,90,148,677,665,60,41.37
05107,3882,2252,266,17,1803,0,2258,175,383,1711,1992,42,63.29
05109,2191,1921,72,50,444,0,1823,83,285,1009,1015,77,53.28
05111,4845,3893,253,70,1111,0,3822,245,520,2007,2483,50,55.45
05113,4449,3196,271,25,758,0,3475,451,542,2198,1946,353,58.19
05115,14851,9996,906,431,850,32,13552,2014,2190,6039,6972,1529,59.77
05117,1709,1443,141,11,282,0,1472,136,218,768,739,20,54.22
05119,78366,93348,1828,1918,40430,0,38234,6938,11573,32443,27418,3015,45.64
05121,3938,3250,195,61,509,3,3459,221,438,1605,1953,46,54.79
05123,5412,3140,370,24,2513,0,3148,244,534,2386,2778,58,63.28
05125,20434,28947,649,329,4354,64,16567,1114,1827,8335,8191,743,41.38
05127,2277,1635,139,13,388,0,1779,231,277,1125,996,181,58.21
05129,1823,1482,81,19,37,0,1791,127,252,861,797,75,55.16
05131,27989,22537,2781,1678,2067,0,23409,4685,4505,11164,12814,3216,55.4
05133,3667,2634,223,20,624,0,2865,372,447,1812,1604,291,58.2
05135,3662,3022,181,57,473,3,3216,206,407,1492,1816,43,54.79
05137,2923,1946,128,8,65,14,2854,173,360,1370,1361,75,60.03
05139,8332,6366,149,41,3845,0,4555,242,943,3777,3790,49,56.69
05141,3735,2487,164,10,83,18,3647,221,460,1751,1739,96,60.03
05143,43225,50452,2913,1817,4230,351,38809,8864,5943,13117,12399,4359,46.14
05145,15842,13381,1305,98,2611,0,13647,1259,2024,7123,6852,184,54.21
05147,1292,1091,106,8,213,0,1113,103,165,581,559,15,54.22
05149,4747,3195,290,138,272,10,4332,644,700,1930,2229,489,59.77
06001,210706,378514,8713,73726,42919,1318,83106,61280,12388,92517,69416,81935,35.76
06003,224,289,20,10,2,0,203,37,36,112,95,12,43.66
06005,7511,9665,656,326,74,0,6801,1248,1195,3759,3166,403,43.73
06007,40192,41161,3710,3686,2357,40,35518,11425,3948,15457,14664,3676,49.4
06009,8405,10815,734,365,82,0,7611,1396,1337,4206,3543,451,43.73
06011,4223,3162,379,53,42,14,3554,1572,429,1980,1653,776,57.18
06013,146962,264666,8555,33692,26425,883,79068,53487,12129,68672,57806,51317,35.7
06015,5292,5091,900,234,195,11,4856,1140,867,2760,2434,377,50.97
06017,24554,50355,2138,1963,501,162,23023,4153,2953,11738,8631,1825,32.78
06019,185742,136899,8969,21762,18204,295,118873,117952,12531,70247,69657,64602,57.57
06021,5590,4186,502,70,56,19,4705,2081,569,2622,2188,1027,57.18
06023,31636,23547,3638,1639,2411,52,27306,5374,1776,10831,12349,2054,57.33
06025,31686,16164,675,991,1079,81,12409,28148,1883,15801,14643,20597,66.22
06027,3529,4541,308,153,35,0,3196,586,562,1766,1488,190,43.73
06029,168617,114415,9524,9794,16448,549,122297,99849,15697,64442,56917,60181,59.58
06031,24053,19090,830,1325,3211,194,14569,17478,3534,7400,7968,8863,55.75
06033,14392,11949,2165,407,759,40,12169,3992,1736,7558,6727,1826,54.64
06035,6244,6006,1061,276,230,13,5729,1345,1023,3257,2872,445,50.97
06037,1702407,1673249,76452,292171,231371,3667,822283,894159,79905,754035,561527,811291,50.43
06039,25645,18410,1786,686,459,0,15537,18260,2098,11074,10944,10061,58.21
06041,29547,73831,1002,2841,1938,62,22778,7634,1026,14641,9631,5917,28.58
06043,3180,4092,278,138,31,0,2880,528,506,1592,1340,171,43.73
06045,19344,16061,2911,546,1021,54,16356,5365,2334,10160,9041,2454,54.64
06047,53812,31154,2547,4421,2994,257,25565,34405,3829,20361,20474,21771,63.33
06049,1660,1597,282,73,61,3,1523,358,272,866,763,118,50.97
06051,2447,3148,214,106,24,0,2216,406,389,1224,1031,131,43.74
06053,63592,72735,2850,6153,3420,194,30683,41735,5140,26290,18794,31545,46.65
06055,18748,30662,1299,2015,437,149,14517,7963,1338,9025,7762,6489,37.94
06057,17281,24896,1083,1060,0,0,16509,2716,2110,10515,5339,1097,40.97
06059,425077,651698,14254,116130,18072,1587,246378,177642,29839,191699,125038,185390,39.48
06061,50109,105791,2603,6997,2644,281,42395,13052,5865,23049,17998,6194,32.14
06063,3777,3633,642,167,139,8,3465,813,619,1970,1737,269,50.97
06065,372728,393121,16911,33162,40961,652,220558,213013,35831,167189,129584,125628,48.67
06067,255159,316812,17401,55257,46626,1127,150485,75179,26716,107249,99319,71631,44.61
06069,8146,9058,465,242,61,0,4043,6598,226,3300,2567,4738,47.35
06071,360760,315119,21629,33851,51667,1354,205780,221780,36715,145883,130999,120678,53.38
06073,450287,712606,18505,73421,48025,1519,320420,198078,61126,191347,146243,145427,38.72
06075,124988,226238,4746,56210,13599,814,56516,26961,6504,63779,48584,50570,35.59
06077,122297,119495,12597,25507,15349,736,68204,62091,9304,49724,47537,44777,50.58
06079,42388,65183,1147,3987,1732,284,38281,13717,5945,21250,17262,6455,39.4
06081,76363,187388,3683,28968,2920,480,36456,26449,4630,38751,23519,32810,28.95
06083,68664,81894,4232,7384,3050,531,51219,40072,5017,27864,22737,24184,45.61
06085,202549,447877,9461,79826,12215,487,99936,73084,12658,97270,68469,95899,31.14
06087,38046,59308,1856,3820,1820,69,29096,18715,2530,19091,11751,9936,39.08
06089,33977,37528,3727,1707,1526,227,32381,4621,5109,16370,18180,893,47.52
06091,547,789,34,34,0,0,523,86,67,333,169,35,40.94
06093,8409,8089,1430,371,310,18,7716,1811,1377,4386,3868,599,50.97
06095,65895,92303,3018,13995,14883,503,34417,23018,8965,31079,27387,18866,41.65
06097,68722,121857,5989,7325,3114,796,52394,25557,5490,29698,26033,17563,36.06
06099,87575,86584,5763,7449,6795,269,60995,47022,5995,37106,32106,33963,50.28
06101,19122,14768,1539,3479,1287,86,11915,7199,1974,8562,9263,5569,56.42
06103,12727,9531,1142,158,127,44,10712,4738,1294,5969,4981,2338,57.18
06105,3115,2332,279,39,31,11,2621,1159,317,1461,1219,572,57.19
06107,88390,55122,6432,4471,2878,109,58851,65005,4834,31550,29988,38435,61.59
06109,10321,13280,902,448,101,0,9346,1714,1642,5165,4350,554,43.73
06111,105281,174052,7965,11860,5109,209,82944,56833,9669,53005,39276,37459,37.69
06113,35409,41435,1422,7836,3604,77,25250,14230,2237,12184,11406,10966,46.08
06115,15658,12093,1260,2848,1054,71,9756,5894,1616,7011,7585,4561,56.42
08001,74882,108458,6502,4119,6806,437,59736,38685,7847,25368,26779,17488,40.84
08003,3759,3383,437,119,163,100,3128,1964,401,1936,1859,379,52.63
08005,83078,162812,4115,6858,16749,170,60966,26171,9405,31919,29390,20996,33.79
08007,2502,3327,330,78,24,28,2244,498,295,969,655,97,42.92
08009,805,725,94,25,35,21,670,421,86,415,398,81,52.61
08011,1297,1167,151,41,56,35,1079,678,138,668,641,131,52.64
08013,40532,93156,1186,3814,1429,95,37983,8579,3140,14447,12014,3539,30.32
08014,6464,23326,444,738,390,67,5625,1386,765,2917,2011,663,21.7
08015,3351,4367,107,54,35,4,3257,737,685,1997,1385,72,43.42
08017,270,391,15,4,19,2,258,71,30,124,81,28,40.85
08019,914,3025,66,22,27,0,886,70,96,494,313,20,23.2
08021,1712,1541,199,54,74,46,1425,895,183,882,847,173,52.63
08023,803,723,93,25,35,21,668,420,86,414,397,81,52.62
08025,916,1327,51,13,64,5,874,242,103,420,275,96,40.84
08027,809,1055,26,13,9,1,786,178,165,482,334,17,43.4
08029,6718,6139,61,25,112,0,6573,1359,950,3461,2282,506,52.25
08031,122709,207300,6546,7757,22573,329,87166,45140,10245,41832,39666,24480,37.18
08033,435,579,57,14,4,5,390,87,51,169,114,17,42.9
08035,24277,111773,1088,1379,1161,0,22661,4130,3012,10045,6619,1678,17.84
08037,5883,14486,0,16,0,0,5652,1433,795,2093,1443,885,28.88
08039,4035,5840,223,59,281,23,3848,1065,452,1849,1210,424,40.86
08041,101281,185005,7797,8043,14697,144,87461,27383,23352,35474,35711,8196,35.38
08043,8419,10972,269,135,88,9,8182,1852,1721,5018,3480,182,43.42
08045,9674,15298,426,85,10,59,8842,2880,1237,4043,3111,1466,38.74
08047,565,1871,41,14,17,0,548,43,59,305,194,12,23.19
08049,1659,4084,0,4,0,0,1593,404,224,590,407,249,28.89
08051,3168,4214,418,99,30,36,2841,630,373,1227,830,123,42.92
08053,147,196,19,5,1,2,132,29,17,57,39,6,42.86
08055,1173,1528,37,19,12,1,1140,258,240,699,485,25,43.43
08057,146,359,0,0,0,0,140,36,20,52,36,22,28.91
08059,73325,168563,5322,4670,3288,108,67291,18311,7935,32158,24824,6374,30.31
08061,224,324,12,3,16,1,213,59,25,102,67,23,40.88
08063,1097,1588,61,16,76,6,1046,289,123,503,329,115,40.86
08065,1279,1667,41,20,13,1,1243,281,261,762,529,28,43.41
08067,10418,13856,1376,325,100,117,9343,2073,1228,4036,2729,404,42.92
08069,50025,102096,3710,2346,2708,732,46907,10915,5395,17083,16028,3432,32.89
08071,3342,3007,388,106,145,89,2780,1746,357,1721,1653,337,52.64
08073,879,1273,49,13,61,5,839,232,98,403,264,92,40.85
08075,3333,4824,184,49,232,19,3179,879,373,1527,999,350,40.86
08077,27775,36393,511,215,597,0,27391,5751,3534,11978,11105,2206,43.28
08079,198,179,23,6,9,5,165,104,21,102,98,20,52.52
08081,2085,3296,92,18,2,13,1905,620,266,871,670,316,38.75
08083,4839,6436,639,151,47,54,4340,963,570,1875,1267,188,42.92
08085,9191,8400,83,34,153,0,8993,1859,1299,4736,3122,693,52.25
08087,4508,6525,250,66,314,25,4300,1189,505,2066,1352,474,40.86
08089,4293,3863,499,136,186,115,3572,2243,458,2211,2123,433,52.64
08091,1049,959,9,4,17,0,1026,212,148,540,356,79,52.24
08093,2992,3899,96,48,31,3,2908,658,611,1783,1237,65,43.42
08095,702,1017,39,10,49,4,670,185,79,322,211,74,40.84
08097,1833,4512,0,5,0,0,1761,446,248,652,450,276,28.89
08099,2756,2480,320,87,119,74,2293,1440,294,1419,1363,278,52.64
08101,37298,31395,2175,1070,1716,2,33772,17895,4659,17439,16327,1686,54.3
08103,1024,1619,45,9,1,6,936,305,131,428,329,155,38.74
08105,2649,2384,308,84,115,71,2204,1384,283,1364,1310,267,52.63
08107,3894,6158,172,34,4,24,3559,1159,498,1627,1252,590,38.74
08109,1463,1317,170,46,63,39,1217,764,156,754,724,148,52.63
08111,132,176,17,4,1,1,118,26,16,51,35,5,42.86
08113,1738,1588,16,6,29,0,1700,351,246,895,590,131,52.25
08115,373,539,21,5,26,2,355,98,42,171,112,39,40.9
08117,3278,8070,0,9,0,0,3149,799,443,1166,804,493,28.89
08119,3389,5260,318,155,372,0,3193,1147,1140,1038,968,222,39.18
08121,745,1079,41,11,52,4,711,197,83,341,223,78,40.84
08123,48798,72784,3681,2987,1882,31,42735,20117,6639,16256,17722,8553,40.14
08125,1546,2238,86,23,108,9,1475,408,173,709,464,162,40.86
09001,132049,226234,2154,6570,31797,0,82339,44823,8912,62095,48670,38271,36.86
09003,145368,213680,4235,10247,36799,51,99319,42019,11380,65720,52426,30168,40.49
09005,26361,48790,524,816,1833,22,23659,4521,2194,14155,9730,3030,35.08
09007,20475,49340,548,1211,3097,0,17491,2988,1990,10684,6505,2714,29.33
09009,153453,196665,3896,8116,37618,108,102785,46756,12659,68013,51179,32450,43.83
09011,45550,65326,1940,2284,6346,90,37815,8060,6767,20269,18275,5606,41.08
09013,23792,35482,634,1379,2840,0,20585,4306,2468,9531,7905,2670,40.14
09015,21585,24170,1164,718,1596,19,20395,4299,2586,8778,7953,2325,47.18
10001,31079,39218,1597,1363,11470,0,19854,4699,5370,13828,11870,3027,44.21
10003,77138,143501,3724,4452,30663,0,44218,9528,5412,34161,28711,9924,34.96
10005,42525,62207,1306,533,9589,0,33667,5386,6667,22515,13736,4329,40.6
12001,46458,61729,1723,3853,12581,0,33320,7306,3324,14255,12124,2255,42.94
12003,4777,6890,107,174,755,0,4385,232,847,2188,1908,236,40.94
12005,33523,43245,1761,1759,5318,78,29473,3035,5674,14091,15215,2383,43.67
12007,5593,5112,498,73,1034,8,4794,623,965,2597,2660,219,52.25
12009,102785,151802,2691,5845,19329,262,82570,14376,22766,53069,39892,8442,40.37
12011,328575,419214,7305,15040,117795,39,201895,114867,20496,163090,97089,104433,43.94
12013,2554,2448,75,6,956,0,1604,194,236,1217,1086,66,51.06
12015,35670,53318,874,1237,3071,0,31691,4125,6103,23765,15071,2264,40.08
12017,30467,37801,1438,599,1377,0,28267,2262,7176,21483,11125,773,44.63
12019,29978,50502,2035,1311,4430,230,24320,4567,8804,14117,10481,2027,37.25
12021,54726,109206,1135,1360,5304,0,45742,21659,3894,28170,14332,14551,33.38
12023,13768,12585,1226,179,2544,19,11801,1535,2375,6392,6549,538,52.24
12027,7681,6252,239,67,1343,0,5828,2721,922,3655,3570,1668,55.13
12029,3309,3025,295,43,612,5,2837,369,571,1536,1574,129,52.24
12031,178905,227386,4993,9257,77992,549,97521,21030,31309,66963,63599,19211,44.03
12033,58459,68520,3449,3463,21627,59,39192,4490,12804,26321,23889,2257,46.04
12035,17205,29895,145,864,3004,0,13419,2266,2736,10282,6324,2476,36.53
12037,2329,2233,69,5,872,0,1462,177,215,1110,991,60,51.05
12039,8201,7863,242,18,3070,0,5151,622,759,3908,3489,213,51.05
12041,3529,3226,314,46,652,5,3025,393,609,1638,1679,138,52.24
12043,2744,1656,60,128,158,9,2360,1134,407,1225,1081,711,62.36
12045,2655,2546,78,6,994,0,1668,201,246,1265,1130,69,51.05
12047,2826,2121,49,13,665,0,2185,239,369,1537,1325,168,57.13
12049,5726,4660,178,50,1001,0,4345,2028,688,2725,2661,1243,55.13
12051,8967,5412,196,417,515,29,7710,3706,1329,4002,3532,2325,62.36
12053,37445,44052,830,684,3514,0,33372,7699,5351,20751,16722,3293,45.95
12055,22892,18110,690,294,3712,8,17619,8255,2818,10819,10463,5075,55.83
12057,231660,345904,6418,11754,60092,194,154709,94047,28580,97817,75678,60374,40.11
12059,3760,4850,197,197,596,9,3305,340,636,1580,1706,267,43.67
12061,25653,44321,529,214,3351,0,22011,5248,2986,14063,11092,2969,36.66
12063,8855,8489,261,20,3314,0,5561,672,819,4219,3767,230,51.06
12065,2715,2603,80,6,1016,0,1705,206,251,1294,1155,70,51.05
12067,1660,1246,29,7,390,0,1283,140,217,903,778,98,57.12
12069,59268,102188,1869,2374,8870,88,49433,11166,8988,35027,24783,6027,36.71
12071,130938,189500,3045,3579,17890,502,112448,38128,14652,69953,43614,27246,40.86
12073,52940,68484,2024,2681,27089,0,28911,5671,4711,14630,16479,2147,43.6
12075,8478,7750,755,110,1567,12,7267,945,1463,3936,4033,331,52.24
12077,1493,1431,44,3,559,0,937,113,138,711,635,39,51.06
12079,3626,2722,63,16,853,0,2803,306,474,1973,1700,215,57.12
12081,53734,109786,1539,2412,7434,0,44029,10574,7056,29589,19168,8601,32.86
12083,71659,85691,1331,1934,11929,0,58258,15298,10060,38008,28341,6580,45.54
12085,25783,43382,436,685,2323,0,23007,5308,4471,15607,8792,2813,37.28
12086,530574,438106,5649,10400,100150,341,397580,404352,17646,277089,171602,324390,54.77
12087,12941,18048,128,330,2506,0,10481,4988,2018,5762,3823,2570,41.76
12089,15277,22035,342,557,2414,0,14022,742,2710,6997,6102,755,40.94
12091,29785,54712,1288,2177,5800,0,23413,4139,9179,13947,13178,3328,35.25
