county,Num Eligible,Num Ineligible,Percentage Eligible
48191,434,556,43.84
48193,1249,1818,40.72
48195,814,1042,43.86
48197,607,730,45.4
48199,9227,12168,43.13
48201,791626,942053,45.66
48203,13907,12132,53.41
48205,827,1060,43.83
48207,1031,1045,49.66
48209,41330,52288,44.15
48211,520,666,43.84
48213,15061,13984,51.85
48215,176996,91602,65.9
48217,6153,6768,47.62
48219,4075,3540,53.51
48221,11270,13261,45.94
48223,7591,6654,53.29
48225,4320,3624,54.38
48227,6457,6787,48.75
48229,575,585,49.57
48231,13483,23464,36.49
48233,3175,4066,43.85
48235,281,295,48.78
48237,1451,1747,45.37
48239,2790,3076,47.56
48241,7278,5280,57.96
48243,358,364,49.58
48245,42866,51962,45.2
48247,1018,427,70.45
48249,8105,5112,61.32
48251,20430,43518,31.95
48253,3748,3800,49.66
48255,2739,3019,47.57
48257,17682,32541,35.21
48259,6502,12262,34.65
48261,73,46,61.34
48263,144,146,49.66
48265,7723,14564,34.65
48267,795,835,48.77
48269,50,44,53.19
48271,640,399,61.6
48273,6467,4079,61.32
48275,638,647,49.65
48277,10337,9060,53.29
48279,2468,2144,53.51
48281,3286,4783,40.72
48283,1404,589,70.45
48285,3784,4171,47.57
48287,2631,3908,40.24
48289,2867,3149,47.66
48291,13863,16643,45.44
48293,3800,4179,47.63
48295,472,604,43.87
48297,2361,1489,61.32
48299,3228,4698,40.73
48301,11,11,50.0
48303,57689,67000,46.27
48305,1059,920,53.51
48307,1413,1485,48.76
48309,41250,55810,42.5
48311,126,53,70.39
48313,2453,2694,47.66
48315,1964,1714,53.4
48317,971,1020,48.77
48319,732,769,48.77
48321,6358,7464,46.0
48323,11826,7374,61.59
48325,7901,9354,45.79
48327,363,381,48.79
48329,22213,43839,33.63
48331,4515,4958,47.66
48333,676,984,40.72
48335,1712,1736,49.65
48337,3419,4116,45.37
48339,80406,152077,34.59
48341,3288,4211,43.85
48343,2470,2165,53.29
48345,202,175,53.58
48347,13397,11381,54.07
48349,9028,9930,47.62
48351,2697,1957,57.95
48353,2808,2846,49.66
48355,58808,68810,46.08
48357,1542,1974,43.86
48359,270,345,43.9
48361,13916,18350,43.13
48363,5198,6116,45.94
48365,3846,3940,49.4
48367,17117,38408,30.83
48369,1520,1947,43.84
48371,2813,2957,48.75
48373,9812,8232,54.38
48375,25130,19342,56.51
48377,1102,1121,49.57
48379,2235,2576,46.46
48381,17624,38885,31.19
48383,627,659,48.76
48385,565,352,61.61
48387,2392,2097,53.29
48389,2650,2696,49.57
48391,1215,1237,49.55
48393,127,162,43.94
48395,3055,3355,47.66
48397,14542,25307,36.49
48399,1885,1911,49.66
48401,8926,9144,49.4
48403,2183,1584,57.95
48405,1747,1267,57.96
48407,5363,4499,54.38
48409,12390,12621,49.54
48411,870,1266,40.73
48413,455,478,48.77
48415,3226,3270,49.66
48417,591,599,49.66
48419,5302,3846,57.96
48421,429,549,43.87
48423,33139,48013,40.84
48425,1683,1981,45.93
48427,13885,5823,70.45
48429,1734,1758,49.66
48431,254,267,48.75
48433,238,241,49.69
48435,625,657,48.75
48437,1073,1374,43.85
48439,282874,489747,36.61
48441,26012,29962,46.47
48443,140,148,48.61
48445,2239,1945,53.51
48447,274,278,49.64
48449,6449,5652,53.29
48451,19329,26187,42.47
48453,165347,401003,29.2
48455,2661,2232,54.38
48457,4368,3169,57.95
48459,8260,7206,53.41
48461,612,643,48.76
48463,5020,3130,61.6
48465,9724,6063,61.59
48467,10936,12606,46.45
48469,17807,19075,48.28
48471,14956,12547,54.38
48473,9960,11692,46.0
48475,2092,2128,49.57
48477,6529,7170,47.66
48479,49053,29677,62.31
48481,7291,8559,46.0
48483,768,984,43.84
48485,21758,27308,44.34
48487,2208,2658,45.38
48489,4201,2650,61.32
48491,60890,182772,24.99
48493,9258,10206,47.56
48495,1400,1424,49.58
