sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0404010,395,217,64.54
0404060,2265,1243,64.57
0404280,15759,13744,53.41
0404410,823,718,53.41
0404570,646,842,43.41
0404630,16304,26660,37.95
0404720,10923,11200,49.37
0404820,1174,1583,42.58
0404970,79989,117361,40.53
0405030,1557,1197,56.54
0405320,1576,1212,56.53
0405460,1168,2460,32.19
0405530,4149,3977,51.06
0405820,2528,2294,52.43
0405930,36685,76760,32.34
0405980,1988,1645,54.72
0406070,5230,4021,56.53
0406120,346,302,53.4
0406250,35983,62477,36.55
0406440,970,746,56.53
0406580,3016,1655,64.57
0406730,12542,16924,42.56
0406740,1165,640,64.54
0406810,5472,18092,23.22
0406850,426,554,43.47
0406870,1614,886,64.56
0406960,1868,1436,56.54
0407130,1669,916,64.56
0407170,1675,3528,32.19
0407240,3975,3056,56.54
0407300,4019,7384,35.25
0407430,134,128,51.15
0407520,4317,4138,51.06
0407570,27209,86783,23.87
0407630,266,359,42.56
0407700,3914,2148,64.57
0407750,33804,69077,32.86
0407820,2896,1589,64.57
0408020,733,703,51.04
0408080,918,504,64.56
0408170,19789,12307,61.66
0408230,425,582,42.2
0408280,1264,3992,24.05
0408410,1891,1454,56.53
0408600,1412,1353,51.07
0408680,3016,2737,52.42
0408800,98162,106085,48.06
0408850,9832,15653,38.58
0409160,3107,1798,63.34
0409190,2015,4064,33.15
0409250,1425,1366,51.06
0409310,1273,1155,52.43
0409430,2416,1326,64.56
0409460,2455,1347,64.57
0409733,3444,4407,43.87
0499997,12744,20293,38.57
0499999,423622,465745,47.63
0500001,1599,1302,55.12
0500006,1627,1325,55.12
0500009,1310,1081,54.79
0500012,917,737,55.44
0500015,4341,6150,41.38
0500016,817,674,54.8
0500017,4667,3852,54.78
0500019,4878,3248,60.03
0500020,887,609,59.29
0500021,1151,767,60.01
0500023,2292,1936,54.21
0500026,5468,4454,55.11
0500028,1623,1322,55.11
0500029,1090,632,63.3
0500030,548,419,56.67
0500032,623,476,56.69
0500041,558,376,59.74
0500042,1627,1325,55.12
0500043,7774,6321,55.15
0500044,4165,3182,56.69
0500045,1281,743,63.29
0500046,1191,691,63.28
0500047,2027,1629,55.44
0500048,674,538,55.61
0500049,2873,2064,58.19
0500051,439,259,62.89
0500065,975,742,56.79
0500067,928,755,55.14
0500068,1146,876,56.68
0500070,1306,869,60.05
0500071,792,653,54.81
0500072,496,403,55.17
0500073,891,686,56.5
0500076,1087,884,55.15
0500079,1379,1095,55.74
0500082,1665,1374,54.79
0500405,1109,797,58.18
0500419,7834,8627,47.59
0502250,3354,2701,55.39
0502280,649,528,55.14
0502430,3325,2915,53.29
0502550,346,201,63.25
0502580,2054,1476,58.19
0502610,1521,1024,59.76
0502670,621,524,54.24
0502700,1432,1209,54.22
0502730,585,339,63.31
0502790,1143,1619,41.38
0502820,634,510,55.42
0502880,3811,3219,54.21
0502960,5318,7490,41.52
0503030,1305,2476,34.51
0503060,14358,27293,34.47
0503090,1181,961,55.14
0503150,2569,2089,55.15
0503240,1385,1214,53.29
0503300,684,523,56.67
0503320,3417,1982,63.29
0503420,710,578,55.12
0503450,1721,1238,58.16
0503480,548,462,54.26
0503630,763,645,54.19
0503640,2690,2162,55.44
0503690,9297,13170,41.38
0503710,1040,711,59.39
0503750,9909,11501,46.28
0503770,724,635,53.27
0503840,864,578,59.92
0503960,698,808,46.35
0504020,1952,1569,55.44
0504050,1842,1407,56.69
0504080,1037,835,55.4
0504110,1081,777,58.18
0504170,789,667,54.19
0504200,1072,862,55.43
0504350,657,555,54.21
0504370,803,663,54.77
0504380,3387,2280,59.77
0504410,1967,1310,60.02
0504560,953,635,60.01
0504590,13719,15923,46.28
0504680,1040,846,55.14
0504740,740,566,56.66
0504800,2139,1742,55.11
0504860,814,713,53.31
0504890,826,556,59.77
0504930,2407,1627,59.67
0504980,451,856,34.51
0505170,689,561,55.12
0505190,746,631,54.18
0505340,581,435,57.19
0505410,2132,1737,55.1
0505430,1881,1266,59.77
0505470,1232,1004,55.1
0505500,2122,1728,55.12
0505550,559,324,63.31
0505580,650,910,41.67
0505680,5331,4072,56.69
0505760,1049,1224,46.15
0505850,663,769,46.3
0505970,1979,1609,55.16
0506060,3636,2778,56.69
0506090,2278,2658,46.15
0506120,17619,20565,46.14
0506150,1740,1415,55.15
0506210,985,752,56.71
0506240,602,433,58.16
0506270,4590,2662,63.29
0506330,19991,16098,55.39
0506360,1301,934,58.21
0506420,3099,3391,47.75
0506540,1071,2033,34.5
0506630,1060,1114,48.76
0506690,1120,982,53.28
0506840,2125,4032,34.51
0506870,1772,1441,55.15
0506900,3170,3675,46.31
0506930,1076,1256,46.14
0506990,4616,3717,55.39
0507110,814,713,53.31
0507140,439,510,46.26
0507170,1235,994,55.41
0507230,793,606,56.68
0507290,959,734,56.65
0507320,968,1371,41.39
0507350,1416,1138,55.44
0507380,4914,3996,55.15
0507530,931,787,54.19
0507560,2746,1829,60.02
0507620,864,582,59.75
0507680,2609,1513,63.29
0507710,474,386,55.12
0507740,786,463,62.93
0507770,2684,2132,55.73
0507840,2977,2274,56.69
0507860,828,595,58.19
0507890,6337,5556,53.28
0507920,1580,1392,53.16
0507990,739,609,54.82
0508040,6044,3506,63.29
