sduni20,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0100001,862,873,18,10,261,1,620,46,127,404,364,18,49.68
0100003,457,406,8,12,354,0,101,14,75,144,135,21,52.95
0100005,3853,4677,194,42,210,0,3480,583,578,1361,1484,390,45.17
0100006,8477,10291,427,93,462,0,7656,1283,1272,2995,3265,857,45.17
0100007,11323,25482,404,532,3648,49,7447,897,1110,4249,4048,679,30.76
0100008,7743,15847,215,300,3442,0,4284,381,966,2979,2231,313,32.82
0100011,1601,3401,43,75,406,9,1153,108,146,561,585,83,32.01
0100012,1768,2074,90,19,136,0,1576,245,257,652,696,160,46.02
0100013,4381,5400,112,30,2100,22,2253,70,619,1804,1847,51,44.79
0100030,3411,3035,66,35,1462,2,2061,173,447,1669,1495,38,52.92
0100060,1778,1534,39,17,799,2,1042,93,232,824,670,19,53.68
0100090,4789,3477,295,75,1099,0,3601,239,575,1930,2017,133,57.94
0100100,1456,1767,73,16,79,0,1315,220,219,515,562,147,45.18
0100120,3221,7011,333,147,609,0,2725,217,347,1662,1028,149,31.48
0100180,1163,1023,61,8,273,0,938,56,134,556,529,14,53.2
0100185,3262,2890,113,58,1403,0,1797,116,415,1270,1040,113,53.02
0100188,1525,1130,15,34,1120,0,403,18,184,605,441,26,57.44
0100189,1260,1218,61,19,327,0,896,61,164,486,422,56,50.85
0100190,4071,9042,206,140,822,0,3175,429,507,1715,1479,270,31.05
0100194,2768,6421,147,100,528,0,2180,304,343,1145,982,195,30.12
0100195,1845,1884,30,37,1245,0,610,64,281,655,607,72,49.48
0100202,2067,4080,39,19,396,0,1625,160,300,1023,691,78,33.63
0100210,14117,15488,151,398,4921,0,9080,1060,1478,4133,3552,335,47.68
0100240,11376,10907,195,6,6594,0,4983,373,1172,5154,5291,191,51.05
0100270,29570,58388,554,266,5669,0,23245,2291,4295,14632,9880,1111,33.62
0100300,2491,2150,55,23,1120,2,1460,130,325,1155,939,26,53.67
0100330,4408,5853,254,82,2705,33,1821,240,331,2090,2149,164,42.96
0100360,4809,3698,128,8,2753,0,2127,98,442,2268,2487,65,56.53
0100390,46597,37463,783,659,37126,116,9548,1571,4804,18970,17357,1418,55.43
0100420,9295,9756,526,24,986,41,8256,552,724,3934,4829,245,48.79
0100450,1193,773,40,11,625,0,582,25,117,597,560,22,60.68
0100480,2068,1840,40,21,886,1,1249,105,271,1012,907,23,52.92
0100510,3846,3318,85,36,1729,3,2253,201,502,1783,1450,41,53.69
0100540,12184,8846,750,190,2797,0,9161,609,1464,4911,5131,339,57.94
0100600,5551,4939,107,56,2379,3,3354,282,727,2717,2433,62,52.92
0100630,4982,4383,262,35,1171,0,4021,240,574,2382,2266,61,53.2
0100660,6242,11025,238,161,1585,0,4644,526,803,2850,2513,285,36.15
0100690,2866,1856,95,27,1501,0,1397,60,281,1433,1346,53,60.69
0100720,4062,2631,134,39,2128,0,1981,85,399,2031,1908,75,60.69
0100750,3200,2583,170,43,803,0,2429,72,368,1579,1606,38,55.33
0100780,3329,2687,177,45,835,0,2527,75,383,1642,1670,39,55.34
0100810,3963,4012,83,45,1198,4,2847,210,585,1855,1672,81,49.69
0100840,4220,4696,169,31,522,0,3539,362,362,1859,1824,226,47.33
0100870,2625,1700,87,25,1375,0,1280,55,258,1312,1233,48,60.69
0100900,2075,1846,40,21,889,1,1254,105,272,1015,910,23,52.92
0100930,4440,3831,99,42,1996,4,2602,232,579,2059,1674,47,53.68
0100960,2662,2297,59,25,1197,2,1560,139,347,1234,1003,28,53.68
0100990,3113,3504,120,21,152,0,2954,92,410,1520,1597,71,47.05
0101020,12810,14422,495,86,626,0,12157,377,1689,6258,6574,294,47.04
0101050,3014,3051,63,34,911,3,2165,160,445,1411,1271,62,49.69
0101080,2059,2084,43,23,622,2,1479,109,304,964,868,42,49.7
0101110,3963,3800,68,2,2297,0,1736,130,408,1796,1843,67,51.05
0101140,11325,9789,774,104,393,0,10379,1015,1110,5821,5776,699,53.64
0101170,9122,13391,808,25,1753,0,7080,982,1133,4121,3927,645,40.52
0101200,1545,1188,41,3,884,0,683,31,142,729,799,21,56.53
0101230,14402,14262,354,188,4886,29,9801,862,2215,6142,6415,491,50.24
0101260,918,929,19,10,277,1,659,49,135,429,387,19,49.7
0101290,12638,17363,153,14,5103,0,7867,631,1549,5844,5242,268,42.13
0101320,5524,5591,116,63,1670,6,3969,293,815,2585,2330,113,49.7
0101350,7125,4614,236,68,3732,0,3474,150,700,3563,3346,131,60.7
0101380,12480,10980,656,88,2933,0,10071,601,1437,5967,5676,153,53.2
0101410,2600,2243,58,24,1169,2,1523,136,339,1206,980,28,53.69
0101440,2505,1757,37,33,2113,5,399,84,252,1019,920,77,58.78
0101470,3245,2495,86,5,1857,0,1435,66,298,1530,1678,44,56.53
0101530,7538,8388,302,56,933,0,6322,646,646,3320,3258,404,47.33
0101560,2970,2567,203,27,103,0,2722,266,291,1526,1515,183,53.64
0101590,3987,4437,160,30,493,0,3344,342,342,1756,1723,214,47.33
0101620,6773,5959,356,48,1592,0,5465,326,780,3238,3080,83,53.2
0101640,1213,1200,30,16,412,3,824,73,187,516,541,42,50.27
0101660,4206,4163,103,55,1430,9,2859,252,647,1790,1875,144,50.26
0101680,1667,1282,44,3,954,0,737,34,153,786,862,22,56.53
0101690,1472,1787,74,16,80,0,1329,223,221,520,567,149,45.17
0101710,3188,2452,85,5,1825,0,1410,65,293,1503,1649,43,56.52
0101720,1505,1695,58,10,74,0,1429,44,198,735,772,35,47.03
0101730,2311,3392,205,6,444,0,1794,249,287,1044,995,164,40.52
0101740,3484,3449,86,46,1184,7,2369,209,536,1483,1554,120,50.25
0101760,3201,7675,54,189,1001,17,2097,219,303,1059,1027,186,29.43
0101770,7666,7588,189,100,2606,16,5211,460,1180,3263,3418,263,50.26
0101800,30562,61483,1234,1958,10272,171,20117,2227,4683,11510,10214,1392,33.2
0101830,7388,6386,505,68,256,0,6771,662,724,3797,3768,456,53.64
0101860,3193,2319,196,50,733,0,2401,160,384,1287,1345,89,57.93
0101890,2664,2815,99,8,763,5,1943,55,331,1330,1381,23,48.62
0101920,39787,52663,1446,563,18902,204,21150,1281,4563,17635,17983,894,43.04
0101950,3014,2318,80,5,1725,0,1333,61,277,1421,1559,41,56.53
0101980,1392,1238,27,14,596,1,841,71,182,681,610,16,52.93
0102010,10011,11141,401,74,1239,0,8397,858,858,4410,4327,537,47.33
0102040,5206,7640,461,14,1001,0,4041,560,647,2352,2242,369,40.53
0102070,11915,11067,209,240,5561,9,6540,813,1324,4108,3523,239,51.84
0102100,7634,16612,788,349,1443,0,6457,515,822,3937,2436,353,31.49
0102130,885,681,24,1,507,0,391,18,81,417,458,12,56.51
0102160,1994,1912,34,1,1156,0,874,65,205,903,927,34,51.05
0102190,3901,3471,75,40,1672,2,2357,198,511,1909,1710,43,52.92
0102220,18676,35158,1259,648,4228,1,14516,1579,2317,8118,6126,1106,34.69
0102250,1738,1336,46,3,995,0,769,35,160,819,899,23,56.54
0102310,4258,4794,164,29,208,0,4041,125,561,2080,2185,98,47.04
0102350,1231,954,24,17,1005,3,233,44,120,511,469,39,56.34
0102370,80452,71220,2096,1820,40414,0,38717,2484,10093,29772,24576,2547,53.04
0102400,4473,2897,148,43,2343,0,2181,94,439,2237,2101,82,60.69
0102430,45844,41980,828,1172,34626,0,11175,1407,7393,14825,13886,2019,52.2
0102480,8008,11751,709,22,1540,0,6215,862,995,3617,3449,567,40.53
0102490,2709,6584,46,162,818,14,1801,187,256,892,866,159,29.15
0102520,3054,3398,122,23,378,0,2561,262,262,1345,1320,164,47.33
0102550,1236,1297,70,3,131,5,1098,73,96,523,642,33,48.8
0102580,5725,6281,61,161,1996,0,3683,430,599,1676,1441,136,47.68
0102610,1367,1180,30,13,615,1,801,72,178,634,515,14,53.67
0102635,5313,3938,319,80,1240,0,4002,238,633,2231,2318,132,57.43
0102640,3168,3207,66,36,958,3,2276,168,467,1483,1336,65,49.69
0102650,5036,5285,285,13,534,22,4473,299,392,2131,2616,132,48.79
0102670,1646,1578,28,1,954,0,721,54,170,746,766,28,51.05
0102700,8025,6837,166,133,4179,8,4059,522,915,2958,2535,147,54.0
0102730,4125,3172,110,7,2361,0,1824,84,379,1945,2133,56,56.53
0102760,1422,1037,87,22,328,0,1069,69,170,578,603,39,57.83
0102790,3083,2660,68,29,1386,3,1807,161,402,1430,1162,33,53.68
0102820,3746,3024,199,50,940,0,2843,84,431,1848,1879,44,55.33
0102850,1194,963,63,16,299,0,906,27,137,589,599,14,55.35
0102880,5610,4780,116,93,2921,6,2838,365,640,2068,1772,103,53.99
0102910,2035,2264,81,15,252,0,1706,174,174,896,879,109,47.34
0102940,3109,2687,213,28,108,0,2849,279,305,1598,1586,192,53.64
0102970,3476,3333,60,2,2015,0,1523,114,358,1575,1617,59,51.05
0103000,1763,1962,71,13,218,0,1479,151,151,777,762,95,47.33
0103030,17091,35487,797,541,3732,0,13133,1683,2153,7388,6421,1021,32.51
0103062,10537,11059,597,28,1118,46,9359,625,821,4459,5474,277,48.79
0103090,2664,2049,71,4,1525,0,1178,54,245,1256,1378,36,56.52
0103120,2828,2283,150,38,710,0,2146,64,325,1395,1419,33,55.33
0103150,3566,2878,190,48,895,0,2706,80,410,1759,1789,42,55.34
0103180,11084,8947,589,149,2781,0,8413,250,1275,5469,5562,131,55.33
0103210,4496,4000,87,46,1927,2,2717,228,589,2200,1971,50,52.92
0103240,1523,1927,21,4,623,0,941,76,190,713,640,29,44.14
0103270,1446,1110,23,18,1160,4,287,44,153,589,539,41,56.57
0103300,1164,754,39,11,610,0,568,24,114,582,547,21,60.69
0103330,3577,3086,79,33,1608,3,2096,187,467,1659,1348,38,53.68
0103360,21209,17187,295,751,12113,0,8966,641,2758,7200,6630,830,55.24
0103390,19301,29106,299,476,7477,0,11933,641,2201,8194,6922,681,39.87
0103420,1698,1890,68,13,210,0,1424,146,146,748,734,91,47.32
0103430,4586,11202,78,276,1367,24,3066,317,434,1508,1465,269,29.05
0103450,9181,9699,340,26,2630,19,6697,188,1140,4582,4758,80,48.63
0103480,3483,2256,115,33,1824,0,1698,73,342,1742,1636,64,60.69
0103510,2398,1553,79,23,1256,0,1169,50,235,1199,1126,44,60.69
0103540,1254,1313,45,7,207,0,1049,35,154,608,644,26,48.85
0103580,2845,3203,110,19,139,0,2700,84,375,1390,1460,65,47.04
0200001,2362,2190,1868,152,60,0,547,33,296,978,1048,181,51.89
0200003,1032,957,816,66,26,0,239,15,129,427,458,79,51.89
0200004,241,223,190,16,6,0,56,3,30,100,107,18,51.94
0200005,143,133,113,9,4,0,33,2,18,59,64,11,51.81
0200007,518,480,409,33,13,0,120,7,65,214,230,40,51.9
0200010,75,70,59,5,2,0,17,1,9,31,33,6,51.72
0200020,960,890,759,62,24,0,222,14,120,397,426,74,51.89
0200030,128,119,101,8,3,0,30,2,16,53,57,10,51.82
0200050,315,542,72,29,8,3,254,32,75,114,145,16,36.76
0200060,368,633,84,34,10,4,297,37,87,134,170,18,36.76
0200070,350,602,80,33,9,3,282,36,83,127,161,18,36.76
0200090,157,146,124,10,4,0,36,2,20,65,70,12,51.82
0200100,662,1140,151,62,17,6,535,67,157,240,306,33,36.74
0200120,340,315,269,22,9,0,79,5,43,141,151,26,51.91
0200130,72,67,57,5,2,0,17,1,9,30,32,6,51.8
0200150,1964,3380,448,184,51,19,1586,200,464,713,907,99,36.75
0200180,37896,71642,8292,5028,6152,150,25606,5979,6929,12551,14649,5704,34.6
0200210,4542,7816,1036,425,118,43,3669,462,1074,1648,2097,228,36.75
0200240,1279,1186,1012,82,32,0,296,18,160,530,568,98,51.89
0200270,292,503,67,27,8,3,236,30,69,106,135,15,36.73
0200300,140,130,111,9,4,0,32,2,18,58,62,11,51.85
0200330,58,54,46,4,1,0,13,1,7,24,26,4,51.79
0200360,82,76,65,5,2,0,19,1,10,34,36,6,51.9
0200390,10184,13309,2327,611,406,84,9391,745,2466,4092,4203,326,43.35
0200450,109,101,86,7,3,0,25,2,14,45,49,8,51.9
0200480,1981,1837,1567,128,50,0,458,28,248,820,879,152,51.89
0200485,224,207,177,14,6,0,52,3,28,93,99,17,51.97
0200510,18545,24233,4237,1112,740,153,17099,1357,4490,7450,7653,594,43.35
0200520,166,154,131,11,4,0,38,2,21,69,74,13,51.88
0200525,236,219,186,15,6,0,55,3,30,98,105,18,51.87
0200540,55,51,43,4,1,0,13,1,7,23,24,4,51.89
0200570,560,519,443,36,14,0,130,8,70,232,249,43,51.9
0200600,13470,23178,3074,1259,350,128,10879,1369,3185,4888,6219,676,36.76
0200610,1669,1547,1320,107,42,0,386,24,209,691,740,128,51.9
0200625,1179,1093,932,76,30,0,273,17,148,488,523,91,51.89
0200630,15,14,12,1,0,0,4,0,2,6,7,1,51.72
0200660,514,477,407,33,13,0,119,7,64,213,228,39,51.87
0200670,73,68,58,5,2,0,17,1,9,30,33,6,51.77
0200680,91,84,72,6,2,0,21,1,11,37,40,7,52.0
0200690,175,301,40,16,5,2,141,18,41,63,81,9,36.76
0200700,229,212,181,15,6,0,53,3,29,95,102,18,51.93
0200710,395,366,312,25,10,0,91,6,49,163,175,30,51.91
0200715,38,35,30,2,1,0,9,1,5,16,17,3,52.05
0200720,644,597,509,41,16,0,149,9,81,267,286,49,51.89
0200730,202,187,159,13,5,0,47,3,25,83,89,15,51.93
0200760,217,201,172,14,5,0,50,3,27,90,96,17,51.91
0200770,228,392,52,21,6,2,184,23,54,83,105,11,36.77
0200775,183,169,145,12,5,0,42,3,23,76,81,14,51.99
0200780,561,966,128,52,15,5,453,57,133,204,259,28,36.74
0200800,71,123,16,7,2,1,58,7,17,26,33,4,36.6
0200810,321,298,254,21,8,0,74,5,40,133,142,25,51.86
0200840,101,93,80,6,3,0,23,1,13,42,45,8,52.06
0200862,299,277,236,19,8,0,69,4,37,124,133,23,51.91
0400001,5375,23093,167,443,269,0,4862,529,634,3098,1325,573,18.88
0400003,4958,6690,314,152,70,21,4716,1112,993,2904,1920,275,42.57
0400021,1062,926,80,18,29,3,983,277,170,635,472,82,53.42
0400023,1491,818,984,5,38,1,528,266,142,716,621,411,64.57
0400026,968,531,639,3,25,1,343,173,92,465,404,267,64.58
0400212,1603,1537,55,61,71,0,1438,900,313,793,694,521,51.05
0400295,18827,16419,1411,325,514,56,17422,4910,3011,11252,8363,1459,53.42
0400520,581,593,107,7,21,0,366,347,84,317,216,124,49.49
0400680,23611,40985,1649,1507,1855,5,20143,7481,2609,9599,9128,2822,36.55
0400790,8545,15093,283,393,705,0,8189,2039,1743,4282,3310,907,36.15
0400910,403,452,95,12,12,1,316,92,59,191,144,43,47.13
0401000,442,597,28,14,6,2,421,99,89,259,171,25,42.54
0401180,1278,1225,43,49,56,0,1146,717,249,632,553,415,51.06
0401330,127,122,4,5,6,0,114,71,25,63,55,41,51.0
0401460,9700,9296,330,370,427,0,8699,5443,1892,4798,4196,3149,51.06
0401600,2554,3446,162,78,36,11,2429,573,512,1496,989,142,42.57
0401760,3292,11598,249,276,322,0,2901,746,388,1463,1080,359,22.11
0401810,1510,829,997,5,39,1,534,269,144,726,630,417,64.56
0401870,28101,77728,1475,2579,3019,63,22949,9673,2598,12071,10505,5426,26.55
0401940,4270,2344,2819,14,110,3,1512,762,407,2052,1780,1179,64.56
0402320,2806,3655,362,41,183,2,2329,1192,580,1638,1395,370,43.43
0402530,4016,3849,137,153,177,0,3601,2254,783,1986,1737,1304,51.06
