sduni20,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0402600,595,457,115,7,18,3,479,198,110,320,260,12,56.56
0402690,26980,51233,934,1546,2015,99,23948,8351,6865,16058,12858,2467,34.5
0402860,20198,18332,8123,607,864,1,12651,4707,1930,7423,6638,3105,52.42
0402920,15137,22516,1372,410,1090,6,13340,5304,3114,8336,6861,1840,40.2
0403010,6409,6792,467,457,436,2,5440,2468,759,2317,2564,839,48.55
0403040,2442,8751,292,182,75,0,2135,376,399,1529,849,200,21.82
0403080,585,525,172,15,22,1,425,141,68,260,215,75,52.7
0403150,1038,995,35,40,46,0,931,583,203,513,449,337,51.06
0403200,590,454,115,7,18,3,476,197,109,317,258,12,56.51
0403290,1398,767,923,5,36,1,495,249,133,672,583,386,64.57
0403310,268,565,17,17,25,2,215,105,48,134,107,47,32.17
0403400,21958,55450,577,1280,1853,191,19077,6834,2708,9337,7507,2782,28.37
0403500,2290,1760,445,29,68,12,1846,763,422,1232,1001,48,56.54
0403550,485,440,195,15,21,0,304,113,46,178,159,75,52.43
0403730,240,185,47,3,7,1,194,80,44,129,105,5,56.47
0403780,6022,25090,101,418,808,18,5356,1709,977,2665,1965,606,19.36
0403820,2176,1194,1437,7,56,2,770,388,207,1046,907,600,64.57
0403870,12438,16782,787,381,175,54,11831,2789,2493,7286,4817,690,42.57
0403950,1226,1251,226,14,45,0,771,732,178,669,457,262,49.5
0403990,6200,10951,205,285,512,0,5941,1479,1265,3107,2402,658,36.15
0404010,395,217,261,1,10,0,140,70,38,190,165,109,64.54
0404060,2265,1243,1495,8,58,2,802,404,216,1088,944,625,64.57
0404280,15759,13744,1181,272,429,47,14583,4111,2520,9419,7000,1221,53.41
0404410,823,718,62,14,22,2,761,215,132,492,365,64,53.41
0404570,646,842,83,9,42,0,537,275,134,377,321,85,43.41
0404630,16304,26660,946,1001,737,0,13921,6563,2565,8282,6446,2123,37.95
0404720,10923,11200,1265,816,2199,19,8278,5145,1282,5031,4414,1762,49.37
0404820,1174,1583,74,36,16,5,1116,264,235,688,454,65,42.58
0404970,79989,117361,4873,4673,7363,242,66122,28688,9750,32896,27044,12612,40.53
0405030,1557,1197,302,20,46,8,1256,519,287,838,681,33,56.54
0405320,1576,1212,306,20,47,8,1271,525,291,848,689,33,56.53
0405460,1168,2460,74,72,109,9,935,457,208,585,464,206,32.19
0405530,4149,3977,141,158,183,0,3721,2329,809,2052,1795,1347,51.06
0405820,2528,2294,1017,76,108,0,1583,589,242,929,831,389,52.43
0405930,36685,76760,2309,2339,3099,484,30859,9430,3929,17573,11745,5347,32.34
0405980,1988,1645,118,32,93,1,1683,1264,322,911,728,703,54.72
0406070,5230,4021,1016,65,155,28,4216,1743,964,2815,2287,109,56.53
0406120,346,302,26,6,10,1,322,91,55,208,154,27,53.4
0406250,35983,62477,1249,2955,4020,109,29499,10959,4384,16864,14051,5484,36.55
0406440,970,746,188,12,29,5,782,323,179,522,424,20,56.53
0406580,3016,1655,1991,10,78,2,1068,538,288,1449,1257,832,64.57
0406730,12542,16924,793,385,176,54,11930,2813,2513,7348,4857,696,42.56
0406740,1165,640,769,4,30,1,412,208,111,560,486,322,64.54
0406810,5472,18092,112,273,513,0,5018,1307,948,2719,2004,549,23.22
0406850,426,554,55,6,28,0,353,181,88,248,212,56,43.47
0406870,1614,886,1066,5,42,1,571,288,154,776,673,446,64.56
0406960,1868,1436,363,23,56,10,1506,623,344,1005,817,39,56.54
0407130,1669,916,1102,6,43,1,591,298,159,802,696,461,64.56
0407170,1675,3528,107,104,156,12,1340,655,298,839,666,296,32.19
0407240,3975,3056,772,50,118,21,3205,1325,733,2139,1738,83,56.54
0407300,4019,7384,393,227,135,0,3274,1694,792,1805,1535,483,35.25
0407430,134,128,5,5,6,0,120,75,26,66,58,43,51.15
0407520,4317,4138,147,165,190,0,3872,2423,842,2135,1868,1401,51.06
0407570,27209,86783,1516,1421,1174,0,23851,5102,2883,12923,8551,2259,23.87
0407630,266,359,17,8,4,1,253,60,53,156,103,15,42.56
0407700,3914,2148,2584,13,101,3,1385,698,373,1881,1632,1080,64.57
0407750,33804,69077,1696,2820,4146,42,28076,9504,3198,13621,11403,4768,32.86
0407820,2896,1589,1912,10,75,2,1025,517,276,1392,1207,799,64.57
0408020,733,703,25,28,32,0,658,411,143,363,317,238,51.04
0408080,918,504,606,3,24,1,325,164,87,441,383,253,64.56
0408170,19789,12307,2205,358,956,0,13842,15915,2390,7358,7485,7294,61.66
0408230,425,582,49,8,29,0,361,169,88,243,204,54,42.2
0408280,1264,3992,95,102,125,1,1098,333,160,555,423,136,24.05
0408410,1891,1454,367,24,56,10,1524,630,349,1018,827,40,56.53
0408600,1412,1353,48,54,62,0,1266,792,275,698,611,458,51.07
0408680,3016,2737,1213,91,129,0,1889,703,288,1108,991,464,52.42
0408800,98162,106085,8996,4831,8883,308,77408,46681,13300,38911,36418,15230,48.06
0408850,9832,15653,765,633,692,34,8104,4203,1857,4156,3704,1004,38.58
0409160,3107,1798,1856,14,81,4,1289,619,333,1517,1303,751,63.34
0409190,2015,4064,128,117,169,14,1648,749,364,1030,799,327,33.15
0409250,1425,1366,48,54,63,0,1278,800,278,705,617,463,51.06
0409310,1273,1155,512,38,54,0,797,297,122,468,418,196,52.43
0409430,2416,1326,1595,8,62,2,855,431,230,1161,1007,667,64.56
0409460,2455,1347,1621,8,63,2,869,438,234,1179,1023,677,64.57
0409733,3444,4407,403,105,64,13,3099,778,633,1899,1302,245,43.87
0499997,12744,20293,714,456,898,107,11214,3358,2660,8706,5793,1401,38.57
0499999,423622,465745,29364,21935,49096,649,315350,223239,41717,157910,149188,120963,47.63
0500001,1599,1302,27,5,781,0,846,42,135,805,751,6,55.12
0500006,1627,1325,27,5,795,0,861,43,138,819,764,6,55.12
0500009,1310,1081,65,20,169,1,1151,74,146,534,650,15,54.79
0500012,917,737,48,13,210,0,724,46,98,380,470,9,55.44
0500015,4341,6150,138,70,925,14,3520,237,388,1771,1740,158,41.38
0500016,817,674,40,13,106,1,718,46,91,333,405,10,54.8
0500017,4667,3852,231,73,603,4,4099,262,519,1902,2315,55,54.78
0500019,4878,3248,214,13,108,24,4763,288,601,2287,2272,125,60.03
0500020,887,609,42,3,34,4,855,54,110,414,410,21,59.29
0500021,1151,767,50,3,25,6,1124,68,142,540,536,30,60.01
0500023,2292,1936,189,14,378,0,1974,182,293,1031,991,27,54.21
0500026,5468,4454,92,18,2671,0,2894,145,463,2754,2568,21,55.11
0500028,1623,1322,27,5,793,0,859,43,137,817,762,6,55.11
0500029,1090,632,75,5,506,0,634,49,108,480,559,12,63.3
0500030,548,419,10,3,253,0,300,16,62,248,249,3,56.67
0500032,623,476,11,3,288,0,341,18,71,282,283,4,56.69
0500041,558,376,34,16,32,1,509,76,82,227,262,57,59.74
0500042,1627,1325,27,5,795,0,861,43,138,819,764,6,55.12
0500043,7774,6321,344,83,156,0,7637,542,1075,3670,3398,318,55.15
0500044,4165,3182,74,20,1922,0,2277,121,471,1888,1894,24,56.69
0500045,1281,743,88,6,595,0,745,58,126,565,657,14,63.29
0500046,1191,691,81,5,553,0,693,54,118,525,611,13,63.28
0500047,2027,1629,106,29,465,0,1599,103,217,840,1039,21,55.44
0500048,674,538,36,9,158,0,528,34,72,279,345,7,55.61
0500049,2873,2064,175,16,489,0,2244,291,350,1419,1257,228,58.19
0500051,439,259,30,2,199,0,260,20,44,193,224,5,62.89
0500065,975,742,21,4,429,0,551,34,111,446,442,11,56.79
0500067,928,755,16,3,453,0,491,25,79,467,436,4,55.14
0500068,1146,876,20,6,529,0,627,33,130,520,521,7,56.68
0500070,1306,869,57,4,29,6,1275,77,161,612,608,34,60.05
0500071,792,653,39,12,102,1,696,44,88,323,393,9,54.81
0500072,496,403,22,5,10,0,487,34,68,234,216,20,55.17
0500073,891,686,46,10,162,0,711,71,111,431,398,57,56.5
0500076,1087,884,48,12,22,0,1068,76,150,513,475,44,55.15
0500079,1379,1095,77,37,117,3,1233,168,190,563,630,127,55.74
0500082,1665,1374,82,26,215,1,1463,94,185,679,826,20,54.79
0500405,1109,797,67,6,189,0,866,112,135,548,485,88,58.18
0500419,7834,8627,212,286,3463,0,4409,577,1350,2912,2984,316,47.59
0502250,3354,2701,333,201,248,0,2806,562,540,1338,1536,385,55.39
0502280,649,528,29,7,13,0,637,45,90,306,284,27,55.14
0502430,3325,2915,109,76,674,0,2767,127,432,1532,1541,116,53.29
0502550,346,201,24,2,161,0,201,16,34,153,178,4,63.25
0502580,2054,1476,125,11,350,0,1605,208,250,1015,899,163,58.19
0502610,1521,1024,93,44,87,3,1388,206,224,619,714,157,59.76
0502670,621,524,51,4,102,0,535,49,79,279,269,7,54.24
0502700,1432,1209,118,9,236,0,1233,114,183,644,619,17,54.22
0502730,585,339,40,3,271,0,340,26,58,258,300,6,63.31
0502790,1143,1619,36,18,244,4,927,62,102,466,458,42,41.38
0502820,634,510,33,9,145,0,500,32,68,263,325,7,55.42
0502880,3811,3219,314,24,628,0,3283,303,487,1714,1648,44,54.21
0502960,5318,7490,169,86,1133,16,4313,289,479,2174,2137,193,41.52
0503030,1305,2476,79,52,43,20,1209,312,157,500,452,166,34.51
0503060,14358,27293,865,573,471,223,13301,3437,1726,5510,4978,1833,34.47
0503090,1181,961,52,13,24,0,1161,82,163,558,516,48,55.14
0503150,2569,2089,114,27,52,0,2524,179,355,1213,1123,105,55.15
0503240,1385,1214,45,32,281,0,1152,53,180,638,642,48,53.29
0503300,684,523,12,3,316,0,374,20,77,310,311,4,56.67
0503320,3417,1982,234,15,1587,0,1987,154,337,1506,1754,37,63.29
0503420,710,578,31,8,14,0,698,50,98,335,310,29,55.12
0503450,1721,1238,105,10,292,0,1346,175,210,849,753,137,58.16
0503480,548,462,45,3,90,0,472,43,70,246,237,6,54.26
0503630,763,645,63,5,126,0,657,61,98,343,330,9,54.19
0503640,2690,2162,141,39,617,0,2122,136,289,1115,1379,28,55.44
0503690,9297,13170,295,150,1981,29,7538,507,831,3792,3727,338,41.38
0503710,1040,711,63,9,369,0,705,50,107,446,533,11,59.39
0503750,9909,11501,439,363,1530,0,8593,575,1106,3582,4191,174,46.28
0503770,724,635,24,17,147,0,603,28,94,334,336,25,53.27
0503840,864,578,38,2,19,4,844,51,107,405,402,23,59.92
0503960,698,808,32,25,108,0,605,41,78,253,295,12,46.35
0504020,1952,1569,102,28,442,0,1544,99,210,808,999,21,55.44
0504050,1842,1407,87,20,162,5,1689,105,214,794,892,31,56.69
0504080,1037,835,103,62,77,0,868,174,167,414,475,119,55.4
0504110,1081,777,66,6,184,0,845,110,132,534,473,86,58.18
0504170,789,667,65,5,130,0,680,63,101,355,341,9,54.19
0504200,1072,862,106,64,80,0,896,178,173,429,490,123,55.43
0504350,657,555,54,4,108,0,566,52,84,295,284,8,54.21
0504370,803,663,40,13,104,1,705,45,89,327,398,9,54.77
0504380,3387,2280,207,98,194,7,3091,459,499,1377,1590,349,59.77
0504410,1967,1310,87,5,44,10,1920,117,242,922,916,51,60.02
0504560,953,635,42,3,21,5,931,56,117,447,444,24,60.01
0504590,13719,15923,608,502,2119,0,11896,796,1531,4959,5802,241,46.28
0504680,1040,846,46,11,21,0,1022,72,144,491,455,43,55.14
0504740,740,566,61,26,86,0,600,102,106,326,332,73,56.66
0504800,2139,1742,36,7,1045,0,1132,57,181,1077,1005,8,55.11
0504860,814,713,27,19,165,0,677,31,106,375,377,28,53.31
0504890,826,556,50,24,47,2,754,112,122,336,388,85,59.77
0504930,2407,1627,146,67,154,5,2179,322,351,991,1126,245,59.67
0504980,451,856,27,18,15,7,418,108,54,173,156,58,34.51
0505170,689,561,12,2,336,0,365,18,58,347,323,3,55.12
0505190,746,631,61,5,123,0,642,59,95,335,322,9,54.18
0505340,581,435,33,5,102,0,459,52,72,284,257,41,57.19
0505410,2132,1737,36,7,1042,0,1128,57,181,1074,1001,8,55.1
